country_id,country_name,country_code
1,Belgium,BEL
1729,England,GBR 
4769,France,FRA
7809,Germany,DEU
10257,Italy,ITA
13274,Netherlands,NLD
15722,Poland,POL
17642,Portugal,PRT
19694,Scotland,GBBR
21518,Spain,ESP
24558,Switzerland,CHE
