,country_code,country_name,season,accuracy_percentage
6,Belgium,BEL,2015/2016,52.30125523012552
14,England,GBR ,2015/2016,47.368421052631575
22,France,FRA,2015/2016,48.94736842105264
30,Germany,DEU,2015/2016,52.614379084967325
38,Italy,ITA,2015/2016,53.94736842105263
46,Netherlands,NLD,2015/2016,54.93421052631579
54,Portugal,PRT,2015/2016,54.75409836065573
62,Scotland,GBBR,2015/2016,46.92982456140351
70,Spain,ESP,2015/2016,53.94736842105263
