,country_code,country_name,season,accuracy_percentage
12,England,GBR ,2013/2014,60.78947368421053
20,France,FRA,2013/2014,52.63157894736842
28,Germany,DEU,2013/2014,57.23684210526315
36,Italy,ITA,2013/2014,57.89473684210527
44,Netherlands,NLD,2013/2014,49.34640522875817
52,Portugal,PRT,2013/2014,54.23728813559322
60,Scotland,SCOT,2013/2014,55.06607929515418
68,Spain,ESP,2013/2014,53.70370370370371
