country_code,country_name,season,accuracy_percentage
Belgium,BEL,2009/2010,54.761904761904766
England,GBR,2009/2010,55.52631578947368
France,FRA,2009/2010,50.65963060686016
Germany,DEU,2009/2010,49.18032786885246
Italy,ITA,2009/2010,55.82655826558266
Netherlands,NLD,2009/2010,62.62295081967213
Portugal,PRT,2009/2010,53.61702127659574
Scotland,SCOT,2009/2010,49.56140350877193
Spain,ESP,2009/2010,58.15789473684211
CHE,CHE,2009/2010,0.0
POL,POL,2009/2010,0.0
