Week,ReturnSP1_2013_10_risky,ReturnSP1_2014_10_risky,ReturnSP1_2015_10_risky,ReturnSP1_2016_10_risky,ReturnSP1_2017_10_risky,ReturnSP1_2018_10_risky,ReturnSP1_2013_10,ReturnSP1_2014_10,ReturnSP1_2015_10,ReturnSP1_2016_10,ReturnSP1_2017_10,ReturnSP1_2018_10,ReturnI1_2013_10_risky,ReturnI1_2014_10_risky,ReturnI1_2015_10_risky,ReturnI1_2016_10_risky,ReturnI1_2017_10_risky,ReturnI1_2018_10_risky,ReturnI1_2013_10,ReturnI1_2014_10,ReturnI1_2015_10,ReturnI1_2016_10,ReturnI1_2017_10,ReturnI1_2018_10,ReturnF1_2013_10_risky,ReturnF1_2014_10_risky,ReturnF1_2015_10_risky,ReturnF1_2016_10_risky,ReturnF1_2017_10_risky,ReturnF1_2018_10_risky,ReturnF1_2013_10,ReturnF1_2014_10,ReturnF1_2015_10,ReturnF1_2016_10,ReturnF1_2017_10,ReturnF1_2018_10,ReturnD1_2013_10_risky,ReturnD1_2014_10_risky,ReturnD1_2015_10_risky,ReturnD1_2016_10_risky,ReturnD1_2017_10_risky,ReturnD1_2018_10_risky,ReturnD1_2013_10,ReturnD1_2014_10,ReturnD1_2015_10,ReturnD1_2016_10,ReturnD1_2017_10,ReturnD1_2018_10,ReturnE0_2013_10_risky,ReturnE0_2014_10_risky,ReturnE0_2015_10_risky,ReturnE0_2016_10_risky,ReturnE0_2017_10_risky,ReturnE0_2018_10_risky,ReturnE0_2013_10,ReturnE0_2014_10,ReturnE0_2015_10,ReturnE0_2016_10,ReturnE0_2017_10,ReturnE0_2018_10
10,83.0,-22.200000000000003,-88.39999999999998,99.0,-230.99999999999994,511.8,-154.99999999999994,-217.20000000000007,-157.59999999999997,-3.9000000000000554,-5.999999999999972,-363.1,-522.0,-52.2,-395.7,-363.5,-580.1,-127.5,65.70000000000002,-89.1,1.3000000000000114,113.99999999999997,58.70000000000001,93.29999999999995,-438.5,-242.2,-21.5,-116.19999999999999,-65.1,-131.39999999999998,105.19999999999997,118.59999999999995,-88.6,29.200000000000017,-6.70000000000006,-32.0,-326.5,51.3,-39.5,-126.0,-100.39999999999998,-19.0,-25.40000000000002,-165.7,-45.20000000000002,-88.7,-71.60000000000004,-131.6,201.8,300.5,390.3,-50.0,132.40000000000003,-350.0,-4.600000000000016,-81.39999999999998,-71.30000000000001,-59.99999999999997,22.699999999999967,80.3
11,30.5,-67.2,-127.89999999999998,74.0,-298.0999999999999,606.3,-154.19999999999993,-184.30000000000007,-176.19999999999996,28.799999999999933,-36.49999999999997,-381.3,-580.0,-33.2,-312.7,-349.5,-630.1,-87.0,25.30000000000001,-141.89999999999998,-5.09999999999998,148.79999999999995,71.30000000000001,27.19999999999996,-435.0,-272.7,8.0,-48.19999999999999,-132.6,-195.39999999999998,55.59999999999997,156.29999999999995,-56.599999999999994,21.700000000000017,14.499999999999943,-71.60000000000001,-371.5,11.299999999999997,-9.5,-148.0,-98.99999999999997,-58.0,-10.100000000000023,-131.3,-32.30000000000001,-84.8,-122.90000000000003,-87.8,195.8,311.3,413.3,-70.0,42.400000000000034,-427.0,18.099999999999987,-86.09999999999998,-92.60000000000001,-82.49999999999997,74.49999999999997,62.89999999999999
12,-29.5,-67.2,-149.89999999999998,128.0,-398.0999999999999,539.3,-161.49999999999994,-177.10000000000008,-182.29999999999995,-7.700000000000067,-41.39999999999998,-373.5,-664.0,-16.900000000000006,-321.7,-415.5,-646.2,-55.0,55.900000000000006,-169.89999999999998,11.000000000000014,168.79999999999995,55.30000000000001,-5.2000000000000455,-437.0,-331.7,-20.0,-83.69999999999999,-167.7,-226.89999999999998,53.299999999999976,139.89999999999995,-83.19999999999999,0.700000000000017,-11.500000000000057,-58.000000000000014,-393.5,-45.7,0.5,-111.7,-120.49999999999997,-82.0,-15.300000000000026,-90.60000000000002,-51.500000000000014,-106.7,-152.40000000000003,-82.3,185.8,201.3,518.3,-148.0,34.80000000000004,-403.0,28.699999999999996,-56.199999999999974,-92.2,-68.19999999999997,42.89999999999996,60.599999999999994
13,-51.5,-59.2,-105.89999999999998,59.0,-378.0999999999999,586.8,-164.99999999999994,-201.9000000000001,-226.19999999999996,-21.500000000000078,-9.899999999999977,-416.6,-649.0,-136.9,-358.4,-434.5,-712.3000000000001,-133.0,26.099999999999994,-223.09999999999997,25.40000000000002,215.39999999999995,51.20000000000002,-29.400000000000034,-537.0,-386.7,46.0,-140.7,-211.79999999999998,-211.89999999999998,134.6,183.39999999999995,-130.3,22.69999999999999,25.599999999999966,-118.60000000000002,-483.5,65.3,185.8,-33.2,-73.69999999999996,-99.5,-9.90000000000002,-149.10000000000002,-108.00000000000001,-125.00000000000001,-205.50000000000003,-88.1,293.3,227.3,583.3,-119.0,23.60000000000005,-441.0,-6.499999999999993,-63.89999999999996,-154.8,-88.89999999999996,28.199999999999974,79.79999999999998
14,-76.5,-62.2,-143.39999999999998,45.0,-365.2999999999999,518.8,-177.69999999999993,-187.5000000000001,-227.69999999999996,8.09999999999993,-55.199999999999974,-419.1,-694.0,-204.9,-330.4,-472.5,-521.9000000000001,-213.0,50.79999999999998,-234.89999999999998,12.800000000000026,273.99999999999994,24.100000000000023,4.699999999999974,-519.0,-368.2,114.5,-230.7,-55.400000000000006,-162.39999999999998,118.4,144.79999999999995,-199.8,95.69999999999999,-19.80000000000001,-143.40000000000003,-481.5,54.3,164.8,20.299999999999997,-56.799999999999955,-98.5,-4.200000000000017,-182.90000000000003,-86.80000000000001,-165.70000000000002,-240.6,-139.7,250.3,248.8,698.3,-141.5,-1.3999999999999488,-471.0,-28.999999999999993,-56.199999999999974,-210.4,-94.09999999999997,43.49999999999997,74.49999999999997
15,-124.0,137.3,-225.09999999999997,35.0,-357.39999999999986,530.8,-132.49999999999994,-248.80000000000013,-274.29999999999995,16.39999999999993,-57.599999999999966,-458.90000000000003,-724.0,-234.9,-138.59999999999997,-518.5,-571.9000000000001,-230.0,50.79999999999998,-284.59999999999997,-71.89999999999996,287.3999999999999,20.30000000000001,-53.60000000000002,-579.0,-393.2,78.0,-141.2,-59.0,-170.39999999999998,118.19999999999999,168.89999999999995,-229.3,95.49999999999999,-21.0,-146.50000000000003,-468.5,97.3,144.8,-36.7,-112.89999999999995,-148.5,-20.500000000000014,-135.00000000000006,-71.10000000000001,-132.8,-228.39999999999998,-134.29999999999998,160.3,223.8,790.3,-222.5,-22.499999999999943,-540.0,-7.999999999999993,-22.29999999999997,-229.4,4.399999999999977,24.69999999999999,106.29999999999995
16,-82.5,207.3,-304.09999999999997,-55.0,-382.39999999999986,638.8,-137.69999999999993,-254.80000000000013,-225.19999999999996,10.599999999999934,-90.49999999999997,-525.3000000000001,-743.5,-170.4,-206.59999999999997,-574.5,-558.0000000000001,-306.5,105.1,-286.4,-62.299999999999955,335.99999999999994,-38.69999999999999,-24.599999999999994,-487.0,-412.7,73.0,-210.2,-79.0,-182.09999999999997,71.49999999999999,145.59999999999997,-247.70000000000002,105.69999999999999,38.80000000000001,-162.8,-285.5,267.8,140.8,9.100000000000009,-64.09999999999994,-171.0,-76.00000000000001,-190.10000000000005,-107.9,-125.00000000000001,-236.49999999999997,-104.19999999999999,231.3,220.8,817.3,-232.5,-57.59999999999994,-320.0,8.000000000000007,-31.999999999999957,-316.1,13.899999999999977,7.699999999999989,118.19999999999996
17,-116.5,224.3,-394.09999999999997,-124.0,-288.89999999999986,576.8,-148.59999999999994,-232.70000000000013,-222.19999999999993,-4.300000000000072,-72.29999999999998,-536.1,-824.5,-177.4,-173.09999999999997,-617.0,-511.0000000000001,-315.5,143.79999999999998,-299.29999999999995,-106.39999999999995,354.19999999999993,-42.69999999999999,-55.599999999999994,-480.0,-368.4,5.5,-191.7,-109.1,-259.09999999999997,66.29999999999998,149.99999999999997,-273.40000000000003,88.99999999999999,61.800000000000026,-167.20000000000002,-240.5,256.1,83.80000000000001,-80.89999999999999,-87.69999999999993,-136.0,-77.80000000000003,-170.10000000000005,-95.9,-84.50000000000001,-251.2,-157.89999999999998,249.3,261.8,841.3,-344.5,-90.69999999999993,-213.0,21.600000000000016,-112.79999999999995,-315.40000000000003,53.60000000000002,-41.0,70.79999999999995
18,-91.5,134.3,-429.09999999999997,-157.7,-272.89999999999986,509.79999999999995,-133.19999999999993,-217.70000000000013,-247.59999999999994,-39.600000000000065,-84.19999999999999,-490.20000000000005,-924.5,-257.4,-207.09999999999997,-694.0,-496.0000000000001,-265.5,142.79999999999998,-259.09999999999997,-122.89999999999995,397.3999999999999,-62.39999999999999,-55.19999999999999,-570.0,-391.4,-94.5,-229.7,-178.1,-341.09999999999997,114.39999999999998,160.39999999999998,-214.90000000000003,93.09999999999998,55.00000000000003,-171.4,-298.5,269.1,65.80000000000001,-10.899999999999991,-31.499999999999915,-97.0,-51.70000000000003,-195.40000000000003,-68.4,-26.300000000000026,-287.7,-156.7,237.8,279.3,827.3,-365.0,-91.79999999999993,-149.7,42.90000000000001,-102.79999999999995,-300.6,65.60000000000002,-58.2,35.599999999999966
19,-1.5,86.80000000000001,-481.59999999999997,-180.7,-372.89999999999986,439.79999999999995,-162.19999999999993,-180.50000000000014,-207.59999999999994,-68.90000000000006,-101.59999999999998,-444.00000000000006,-928.7,-277.4,-253.59999999999997,-606.5,-403.10000000000014,-197.5,100.79999999999998,-265.5,-156.99999999999994,348.19999999999993,-80.09999999999998,-131.6,-630.0,-385.4,-1.5,-182.7,-111.1,-441.09999999999997,98.39999999999998,192.49999999999997,-227.40000000000003,49.29999999999998,75.20000000000002,-161.2,-353.5,214.10000000000002,10.800000000000011,12.100000000000009,-61.499999999999915,-106.0,-66.00000000000003,-171.00000000000006,-59.900000000000006,-64.90000000000003,-232.1,-163.6,170.8,234.3,851.3,-352.0,-100.39999999999992,-123.89999999999999,96.20000000000002,-84.49999999999996,-361.6,58.90000000000002,-94.0,12.299999999999969
20,-1.5,116.30000000000001,-516.0999999999999,-150.7,-472.89999999999986,484.79999999999995,-142.89999999999992,-177.20000000000016,-208.59999999999994,-85.80000000000007,-79.19999999999997,-469.4000000000001,-978.7,-337.4,-225.59999999999997,-587.0,-459.20000000000016,-237.5,77.79999999999998,-263.4,-140.69999999999993,349.69999999999993,-74.69999999999997,-116.0,-708.0,-388.4,23.5,-73.89999999999998,-108.69999999999999,-421.09999999999997,52.299999999999976,136.29999999999995,-222.60000000000002,16.59999999999998,92.30000000000001,-143.0,-400.2,192.10000000000002,26.30000000000001,11.600000000000009,-30.09999999999991,-148.5,-94.10000000000002,-185.30000000000007,-54.000000000000014,-64.60000000000004,-209.6,-167.6,160.8,224.3,916.8,-269.5,-200.39999999999992,-233.89999999999998,86.20000000000002,-94.49999999999996,-365.3,41.80000000000001,-84.9,35.09999999999998
21,87.5,154.8,-592.0999999999999,-170.7,-522.8999999999999,457.79999999999995,-165.99999999999991,-201.90000000000015,-194.59999999999994,-82.60000000000007,-70.69999999999996,-509.9000000000001,-954.7,-344.4,-315.59999999999997,-663.7,-499.20000000000016,-288.5,41.499999999999986,-313.4,-117.99999999999993,400.5999999999999,-47.49999999999996,-118.89999999999999,-724.0,-417.4,-6.5,-115.89999999999998,-116.69999999999999,-340.59999999999997,39.09999999999999,106.79999999999995,-205.3,22.199999999999974,122.20000000000002,-135.0,-379.2,174.60000000000002,144.3,-44.39999999999999,-15.099999999999909,-74.0,-82.70000000000002,-182.4000000000001,-118.20000000000002,-43.900000000000034,-232.6,-163.1,118.10000000000002,189.3,807.8,31.0,-90.39999999999992,-79.39999999999998,109.50000000000003,-58.899999999999935,-354.1,-19.899999999999977,-94.9,21.299999999999997
22,164.5,302.8,-618.5999999999999,-186.7,-590.3999999999999,552.8,-167.99999999999991,-178.90000000000015,-190.09999999999997,-76.80000000000007,-34.89999999999998,-516.5000000000001,-1044.7,-434.4,-343.59999999999997,-701.7,-521.3000000000002,-355.5,37.59999999999998,-358.9,-121.29999999999993,399.4999999999999,2.4000000000000483,-129.3,-713.0,-420.4,98.0,-183.89999999999998,-151.7,-460.59999999999997,22.19999999999998,65.29999999999995,-228.5,39.59999999999998,115.10000000000002,-64.69999999999999,-425.9,324.6,374.3,78.10000000000001,-80.09999999999991,-154.0,-101.70000000000002,-208.2000000000001,-129.8,-105.10000000000004,-239.0,-124.3,129.10000000000002,155.8,946.3,-59.0,4.60000000000008,-97.39999999999998,99.50000000000003,-126.79999999999994,-378.70000000000005,5.000000000000028,-169.9,24.099999999999994
23,119.5,234.8,-502.5999999999999,-212.7,-668.3999999999999,516.8,-186.39999999999992,-154.80000000000013,-238.99999999999997,-14.400000000000091,9.900000000000034,-503.0000000000001,-1043.2,-403.09999999999997,-344.09999999999997,-731.7,-487.00000000000017,-403.0,23.399999999999977,-382.7,-160.89999999999992,379.0999999999999,-10.499999999999957,-102.70000000000002,-778.0,-444.4,8.0,-178.89999999999998,-190.7,-481.59999999999997,40.49999999999999,47.299999999999955,-191.3,74.09999999999998,76.80000000000003,-66.69999999999999,-408.9,339.1,347.3,21.10000000000001,-126.1999999999999,-161.5,-148.0,-177.2000000000001,-117.00000000000001,-107.80000000000004,-235.7,-101.5,115.60000000000002,133.8,898.8,-69.0,54.60000000000008,-107.39999999999998,103.00000000000003,-102.29999999999994,-344.50000000000006,9.400000000000027,-148.8,14.099999999999994
24,226.5,204.8,-523.5999999999999,-362.7,-663.9999999999999,575.8,-179.19999999999993,-141.30000000000013,-231.29999999999998,-2.0000000000000853,24.000000000000057,-502.8000000000001,-1083.2,-473.09999999999997,-444.09999999999997,-805.7,-467.00000000000017,-460.0,30.899999999999977,-316.2,-139.19999999999993,350.19999999999993,8.700000000000045,-90.10000000000002,-813.5,-369.4,102.0,-221.89999999999998,-175.29999999999998,-531.5999999999999,51.19999999999998,9.799999999999955,-210.8,33.999999999999986,18.50000000000003,-65.89999999999999,-307.9,249.10000000000002,291.3,-35.89999999999999,-92.2999999999999,-251.5,-204.6,-170.0000000000001,-115.60000000000001,-102.40000000000003,-264.9,-89.29999999999998,53.60000000000002,107.80000000000001,999.0999999999999,-106.0,44.60000000000008,-25.899999999999977,93.80000000000003,-150.49999999999994,-366.20000000000005,22.300000000000033,-145.20000000000002,11.399999999999991
25,246.0,172.8,-587.5999999999999,-267.7,-673.5999999999999,497.79999999999995,-200.09999999999994,-155.20000000000013,-180.19999999999996,-63.70000000000009,35.30000000000007,-469.9000000000001,-1119.9,-573.0999999999999,-463.09999999999997,-853.7,-500.60000000000014,-344.7,94.89999999999998,-296.5,-184.79999999999993,376.99999999999994,-5.999999999999943,-141.3,-798.5,-479.4,2.0,-283.9,-212.29999999999998,-598.5999999999999,37.299999999999976,90.59999999999997,-240.70000000000002,10.199999999999974,30.300000000000026,-88.8,-317.9,190.10000000000002,234.3,-70.89999999999999,-148.3999999999999,-265.5,-189.7,-150.2000000000001,-99.20000000000002,-77.60000000000005,-267.29999999999995,-88.89999999999999,61.60000000000002,99.30000000000001,959.0999999999999,-113.0,33.10000000000008,-175.89999999999998,98.40000000000002,-162.59999999999994,-371.70000000000005,53.40000000000003,-141.20000000000002,127.2
26,253.0,165.8,-518.5999999999999,-343.7,-584.0999999999999,528.8,-205.99999999999994,-136.50000000000014,-257.79999999999995,-43.600000000000094,-15.09999999999993,-528.1000000000001,-1089.6000000000001,-487.0999999999999,-411.79999999999995,-926.2,-573.1000000000001,-412.2,115.09999999999997,-309.9,-178.49999999999994,408.49999999999994,-26.299999999999955,-118.30000000000001,-862.5,-504.4,-16.0,-315.9,-312.29999999999995,-608.5999999999999,24.999999999999964,128.99999999999997,-256.20000000000005,26.79999999999997,35.70000000000003,-95.5,-391.9,134.10000000000002,249.3,-103.39999999999999,-151.1999999999999,-290.5,-174.3,-166.7000000000001,-151.20000000000002,-53.800000000000054,-299.19999999999993,-74.89999999999999,11.600000000000023,-10.699999999999989,965.5999999999999,-173.0,-24.89999999999992,-144.89999999999998,127.40000000000002,-88.69999999999996,-382.70000000000005,90.30000000000004,-111.4,141.60000000000002
27,269.5,113.30000000000001,-498.5999999999999,-390.4,-605.1999999999999,609.8,-252.19999999999993,-147.70000000000016,-265.4,-35.80000000000008,-60.39999999999993,-536.1000000000001,-1205.1000000000001,-554.0999999999999,-428.79999999999995,-938.2,-673.1000000000001,-407.2,130.99999999999997,-332.7,-150.99999999999994,383.69999999999993,-12.099999999999966,-106.20000000000002,-847.5,-503.4,61.0,-359.9,-342.79999999999995,-520.5999999999999,-24.000000000000036,124.59999999999997,-241.90000000000003,54.599999999999966,-1.7999999999999687,-108.5,-370.9,131.60000000000002,250.3,-44.39999999999999,-206.1999999999999,-370.5,-160.4,-175.80000000000013,-103.70000000000002,-80.80000000000005,-297.99999999999994,-32.19999999999999,24.90000000000002,8.300000000000011,899.5999999999999,-187.5,-88.89999999999992,-154.89999999999998,119.90000000000002,-85.19999999999997,-366.90000000000003,96.70000000000003,-49.400000000000006,144.10000000000002
28,268.0,115.30000000000001,-538.5999999999999,-402.4,-667.6999999999999,486.79999999999995,-240.29999999999993,-217.00000000000017,-237.39999999999998,28.79999999999994,-6.799999999999933,-513.8000000000002,-1271.8000000000002,-437.7999999999999,-495.49999999999994,-823.2,-559.2000000000002,-467.2,102.49999999999997,-366.0,-135.29999999999995,379.0999999999999,-42.99999999999997,-98.10000000000001,-843.5,-530.4,78.5,-300.9,-352.9,-410.5999999999999,-74.70000000000003,121.29999999999997,-219.70000000000005,31.49999999999997,-4.199999999999974,-110.6,-400.9,171.60000000000002,203.60000000000002,-101.39999999999999,-264.19999999999993,-249.5,-114.30000000000001,-191.20000000000013,-77.50000000000001,-95.60000000000005,-253.49999999999994,-103.1,-37.59999999999998,-30.69999999999999,837.0999999999999,-130.0,-138.89999999999992,-244.89999999999998,185.0,-63.29999999999997,-340.20000000000005,94.50000000000003,-29.700000000000017,143.20000000000002
