Week,ReturnSP1_2013_10_risky,ReturnSP1_2014_10_risky,ReturnSP1_2015_10_risky,ReturnSP1_2016_10_risky,ReturnSP1_2017_10_risky,ReturnSP1_2018_10_risky,ReturnSP1_2013_10,ReturnSP1_2014_10,ReturnSP1_2015_10,ReturnSP1_2016_10,ReturnSP1_2017_10,ReturnSP1_2018_10,ReturnI1_2013_10_risky,ReturnI1_2014_10_risky,ReturnI1_2015_10_risky,ReturnI1_2016_10_risky,ReturnI1_2017_10_risky,ReturnI1_2018_10_risky,ReturnI1_2013_10,ReturnI1_2014_10,ReturnI1_2015_10,ReturnI1_2016_10,ReturnI1_2017_10,ReturnI1_2018_10,ReturnF1_2013_10_risky,ReturnF1_2014_10_risky,ReturnF1_2015_10_risky,ReturnF1_2016_10_risky,ReturnF1_2017_10_risky,ReturnF1_2018_10_risky,ReturnF1_2013_10,ReturnF1_2014_10,ReturnF1_2015_10,ReturnF1_2016_10,ReturnF1_2017_10,ReturnF1_2018_10,ReturnD1_2013_10_risky,ReturnD1_2014_10_risky,ReturnD1_2015_10_risky,ReturnD1_2016_10_risky,ReturnD1_2017_10_risky,ReturnD1_2018_10_risky,ReturnD1_2013_10,ReturnD1_2014_10,ReturnD1_2015_10,ReturnD1_2016_10,ReturnD1_2017_10,ReturnD1_2018_10,ReturnE0_2013_10_risky,ReturnE0_2014_10_risky,ReturnE0_2015_10_risky,ReturnE0_2016_10_risky,ReturnE0_2017_10_risky,ReturnE0_2018_10_risky,ReturnE0_2013_10,ReturnE0_2014_10,ReturnE0_2015_10,ReturnE0_2016_10,ReturnE0_2017_10,ReturnE0_2018_10
0,-32.5,-12.0,-25.5,-8.0,-80.0,63.0,10.100000000000009,-9.400000000000006,-22.400000000000006,-15.5,-17.299999999999997,-35.5,-42.5,-33.0,89.30000000000001,-29.5,-29.0,52.0,39.30000000000001,-10.799999999999997,13.0,35.900000000000006,-3.5,9.900000000000006,-100.0,17.0,93.5,-66.0,-38.0,83.0,67.0,-12.700000000000003,-15.799999999999997,26.200000000000003,39.099999999999994,2.799999999999997,-90.0,-6.0,57.5,-23.5,-17.5,-90.0,47.099999999999994,-37.900000000000006,-8.699999999999989,23.099999999999994,18.599999999999994,-13.400000000000006,24.0,99.0,103.0,34.0,100.0,-67.0,-5.700000000000003,-27.0,-31.0,-59.0,-0.4000000000000057,26.900000000000006
1,-73.5,-24.0,-10.5,13.5,-87.2,60.0,-27.59999999999998,-42.099999999999994,-53.10000000000001,-37.60000000000001,-21.39999999999999,-61.69999999999999,-110.5,-43.0,59.30000000000001,-69.5,-52.0,-15.0,90.30000000000001,7.1000000000000085,35.0,67.9,1.2000000000000028,32.10000000000002,-164.0,-18.0,59.5,-89.0,-30.5,141.0,97.20000000000002,3.6999999999999886,-38.7,59.000000000000014,95.49999999999997,10.799999999999997,-146.0,92.0,51.5,7.0,35.5,-13.0,40.099999999999994,-96.2,-53.39999999999999,-39.400000000000006,-8.700000000000003,-75.10000000000001,33.0,99.5,80.3,77.5,132.5,-31.0,10.0,-70.0,-39.2,-42.599999999999994,-3.4000000000000057,18.10000000000001
2,-103.0,19.0,-100.5,371.5,-137.2,65.0,-52.499999999999986,-88.5,-23.10000000000001,-50.900000000000006,-6.099999999999994,-149.7,-200.5,12.0,2.3000000000000114,-67.5,-142.0,0.0,78.10000000000001,2.6000000000000085,13.5,92.0,69.50000000000001,39.20000000000002,-173.0,-48.0,65.5,-32.19999999999999,-70.5,84.3,110.70000000000002,8.699999999999989,-41.0,43.000000000000014,54.599999999999966,3.299999999999997,-236.0,69.0,70.5,-7.0,60.5,-30.5,56.89999999999999,-116.0,-59.8,-23.700000000000017,-38.80000000000001,-74.70000000000002,44.3,169.5,49.3,42.5,65.8,-62.5,16.5,-47.0,-72.7,-51.3,-28.10000000000001,20.30000000000001
3,-150.5,133.0,-45.19999999999999,345.5,-199.2,81.0,-43.3,-128.9,-50.2,-43.70000000000002,21.10000000000001,-183.1,-275.5,11.5,-107.69999999999999,-65.5,-210.0,62.5,65.30000000000001,-39.8,54.400000000000006,96.2,69.60000000000001,33.90000000000002,-209.5,-148.0,36.5,41.80000000000001,-137.5,194.10000000000002,86.60000000000001,20.999999999999986,-3.1999999999999886,36.000000000000014,82.09999999999997,-13.600000000000009,-326.0,95.0,160.5,-10.0,15.5,3.5,82.99999999999999,-186.9,-57.60000000000001,-46.30000000000001,-23.30000000000001,-86.30000000000001,58.8,263.5,256.3,67.5,68.8,-41.5,-30.1,-71.1,-134.0,-69.6,2.999999999999986,-18.499999999999986
4,-195.0,94.5,-50.69999999999999,181.5,-91.69999999999999,7.0,-57.2,-136.00000000000003,-118.8,20.599999999999937,-14.799999999999997,-177.5,-434.5,-68.5,-97.69999999999999,-148.0,-338.5,70.0,107.80000000000001,34.10000000000001,15.200000000000017,89.3,54.3,61.500000000000014,-224.5,-248.0,36.5,54.30000000000001,5.0,127.10000000000002,61.3,71.3,-50.599999999999994,3.8000000000000114,27.899999999999963,-40.30000000000001,-383.5,-18.0,141.5,9.5,-97.0,25.0,80.79999999999998,-188.5,-12.100000000000009,-54.80000000000001,-16.200000000000017,-31.899999999999977,63.8,514.0,206.3,17.5,-41.2,-92.5,-5.400000000000013,-162.6,-84.30000000000001,-19.69999999999996,10.699999999999974,44.000000000000014
5,-148.0,-5.5,75.10000000000002,214.5,-156.7,141.3,-36.39999999999996,-154.50000000000003,-172.0,26.499999999999943,-11.0,-256.1,-375.5,-57.0,-151.7,-172.0,-405.5,-87.0,59.70000000000002,41.10000000000001,25.30000000000004,121.99999999999999,-7.500000000000007,151.39999999999998,-210.5,-298.0,26.5,63.80000000000001,13.0,62.10000000000002,33.89999999999999,79.8,-72.89999999999999,3.8000000000000114,89.89999999999996,-31.900000000000006,-366.5,6.0,-38.5,1.0,-85.0,144.5,82.49999999999999,-181.7,5.59999999999998,-91.30000000000001,-35.000000000000014,-27.599999999999966,275.8,457.0,309.3,-3.5,-131.2,-167.5,-16.30000000000002,-150.0,-85.30000000000001,32.900000000000034,45.199999999999974,5.6000000000000085
6,-163.0,-50.5,93.60000000000002,154.5,-178.7,249.8,-32.199999999999974,-150.90000000000003,-181.6,52.699999999999946,-15.599999999999994,-274.90000000000003,-405.5,-82.0,-154.7,-106.0,-405.0,-94.5,83.30000000000001,9.600000000000009,-5.399999999999963,85.49999999999999,-18.800000000000004,183.49999999999997,-276.0,-217.7,5.0,23.80000000000001,-16.0,11.600000000000023,35.7,67.49999999999999,-31.89999999999999,53.10000000000002,57.99999999999996,-73.6,-356.0,35.0,-43.0,16.0,-110.0,127.0,68.09999999999998,-153.5,53.59999999999998,-88.80000000000001,-52.90000000000002,-34.49999999999997,283.8,347.0,296.3,-48.0,-151.2,-144.5,-3.400000000000013,-88.1,-84.00000000000001,-33.599999999999966,28.79999999999997,-9.099999999999994
7,-19.0,-100.5,26.100000000000023,134.5,-236.7,491.8,-100.19999999999997,-133.50000000000006,-176.79999999999998,37.59999999999995,8.40000000000002,-305.20000000000005,-472.5,13.0,-216.7,-139.0,-515.0,-67.0,125.80000000000001,-26.299999999999997,23.500000000000014,61.999999999999986,2.9999999999999787,166.29999999999995,-376.0,-196.2,-13.0,-10.699999999999989,-28.0,46.10000000000002,105.2,50.09999999999998,-10.899999999999991,23.80000000000001,-3.9000000000000483,-80.5,-198.0,55.0,-45.5,-74.0,-64.29999999999998,72.0,-4.600000000000023,-153.6,42.09999999999998,-65.4,-98.00000000000001,-72.59999999999997,193.8,257.0,334.8,-66.0,-0.6999999999999886,-182.5,0.4999999999999929,-26.99999999999997,-118.20000000000002,-42.49999999999997,-15.800000000000033,15.900000000000006
8,34.0,14.5,-83.89999999999998,111.5,-198.79999999999998,404.8,-83.99999999999997,-125.40000000000006,-141.99999999999997,-17.50000000000005,-20.59999999999998,-293.30000000000007,-486.0,62.5,-243.7,-248.0,-545.5,-89.5,104.80000000000001,-86.1,-26.999999999999986,104.79999999999997,38.700000000000024,123.19999999999996,-443.5,-172.2,25.5,21.30000000000001,-128.0,-53.89999999999998,108.3,35.59999999999998,-63.099999999999994,-0.19999999999998863,6.499999999999943,-46.5,-254.0,46.3,-99.5,-126.5,-67.29999999999998,-18.0,-9.300000000000026,-122.1,29.799999999999983,-46.400000000000006,-124.10000000000002,-68.39999999999998,83.80000000000001,308.0,319.8,-48.0,87.80000000000001,-182.0,9.199999999999982,-55.39999999999998,-95.10000000000002,-55.89999999999998,7.799999999999962,12.5
9,118.0,17.799999999999997,-70.89999999999998,189.0,-282.79999999999995,424.8,-128.89999999999995,-197.80000000000007,-134.59999999999997,-26.700000000000053,-11.09999999999998,-338.50000000000006,-564.0,47.8,-295.7,-335.5,-598.0,-175.5,102.10000000000001,-116.8,-10.399999999999991,73.69999999999996,50.90000000000001,125.29999999999995,-400.5,-172.2,4.5,-48.69999999999999,-37.0,-31.399999999999977,128.39999999999998,80.69999999999995,-73.8,20.60000000000001,4.999999999999943,-45.599999999999994,-344.0,31.299999999999997,-80.5,-150.5,-121.29999999999998,-34.5,-2.6000000000000227,-125.3,20.799999999999983,-64.4,-92.40000000000003,-102.29999999999998,146.8,280.0,408.8,-138.0,68.60000000000001,-250.0,-3.1000000000000156,-46.79999999999998,-94.20000000000002,-15.999999999999972,14.499999999999964,11.200000000000003
