Div,HomeTeam,AwayTeam,win,loose,rivalry
D1,Augsburg,Bayern Munich,1,5,0
D1,Augsburg,Dortmund,1,5,0
D1,Augsburg,Hamburg,4,1,1
D1,Augsburg,Leverkusen,0,4,0
D1,Augsburg,Schalke 04,1,3,0
D1,Augsburg,Stuttgart,4,1,1
D1,Bayern Munich,Dortmund,6,1,1
D1,Bayern Munich,Ein Frankfurt,6,0,1
D1,Bayern Munich,FC Koln,4,0,1
D1,Bayern Munich,Freiburg,4,0,1
D1,Bayern Munich,Hamburg,5,0,1
D1,Bayern Munich,Hannover,5,0,1
D1,Bayern Munich,Leverkusen,6,1,1
D1,Bayern Munich,Stuttgart,4,1,1
D1,Bayern Munich,Werder Bremen,7,0,1
D1,Bayern Munich,Wolfsburg,6,0,1
D1,Dortmund,Ein Frankfurt,7,0,1
D1,Dortmund,Freiburg,5,0,1
D1,Dortmund,Hamburg,4,1,1
D1,Dortmund,Hannover,4,1,1
D1,Dortmund,Hoffenheim,5,0,1
D1,Dortmund,M'gladbach,6,1,1
D1,Dortmund,Mainz,5,1,1
D1,Dortmund,Stuttgart,4,0,1
D1,Ein Frankfurt,Bayern Munich,1,4,0
D1,Ein Frankfurt,FC Koln,4,1,1
D1,Ein Frankfurt,Hertha,1,1,0
D1,Ein Frankfurt,Wolfsburg,1,5,0
D1,FC Koln,Augsburg,0,2,0
D1,FC Koln,Bayern Munich,0,5,0
D1,FC Koln,Hertha,1,4,0
D1,FC Koln,Hoffenheim,1,2,0
D1,Freiburg,Bayern Munich,1,3,0
D1,Freiburg,Dortmund,0,4,0
D1,Freiburg,M'gladbach,4,0,1
D1,Freiburg,Wolfsburg,1,4,0
D1,Hamburg,Bayern Munich,0,4,0
D1,Hamburg,Ein Frankfurt,0,3,0
D1,Hamburg,Mainz,1,2,0
D1,Hamburg,Wolfsburg,1,3,0
D1,Hannover,Bayern Munich,0,5,0
D1,Hannover,Dortmund,1,3,0
D1,Hannover,Hertha,1,2,0
D1,Hannover,Leverkusen,0,3,0
D1,Hannover,Stuttgart,1,1,0
D1,Hertha,Bayern Munich,1,4,0
D1,Hertha,Hamburg,5,0,1
D1,Hertha,Hannover,1,2,0
D1,Hertha,Hoffenheim,1,3,0
D1,Hertha,Stuttgart,4,1,1
D1,Hertha,Werder Bremen,1,1,0
D1,Hoffenheim,Hannover,5,0,1
D1,Hoffenheim,Stuttgart,4,0,1
D1,Leverkusen,Hamburg,5,0,1
D1,Leverkusen,Hannover,4,0,1
D1,Leverkusen,Stuttgart,4,1,1
D1,M'gladbach,FC Koln,4,1,1
D1,M'gladbach,Freiburg,5,0,1
D1,M'gladbach,Hannover,5,0,1
D1,M'gladbach,Hertha,5,1,1
D1,Mainz,Augsburg,5,1,1
D1,Mainz,Bayern Munich,0,7,0
D1,Mainz,Dortmund,1,5,0
D1,Mainz,M'gladbach,1,3,0
D1,Schalke 04,Bayern Munich,0,6,0
D1,Schalke 04,FC Koln,0,3,0
D1,Schalke 04,Hannover,4,0,1
D1,Schalke 04,Hertha,6,1,1
D1,Schalke 04,Leverkusen,1,4,0
