date,name,value
2013-01-01,Ein Frankfurt,0
2013-01-01,Bayern Munich,9
2013-01-01,M'gladbach,8
2013-01-01,Leverkusen,7
2013-01-01,Wolfsburg,6
2013-01-01,Dortmund,6
2013-01-01,Hannover,5
2013-01-01,Augsburg,5
2013-01-01,Hertha,5
2013-01-01,Nurnberg,0
2013-01-01,Mainz,4
2013-01-01,Werder Bremen,3
2013-01-01,Stuttgart,2
2013-01-01,Hoffenheim,1
2013-01-01,Braunschweig,2
2013-01-01,Hamburg,2
2013-01-01,Freiburg,1
2013-01-01,Schalke 04,5
2014-01-01,M'gladbach,8
2014-01-01,Ein Frankfurt,9
2014-01-01,Augsburg,10
2014-01-01,Bayern Munich,15
2014-01-01,Wolfsburg,12
2014-01-01,Schalke 04,12
2014-01-01,Mainz,8
2014-01-01,Hoffenheim,11
2014-01-01,Leverkusen,7
2014-01-01,Dortmund,8
2014-01-01,Werder Bremen,6
2014-01-01,Freiburg,6
2014-01-01,Hamburg,6
2014-01-01,Hertha,5
2014-01-01,Stuttgart,4
2014-01-01,Paderborn,3
2014-01-01,Braunschweig,3
2014-01-01,Nurnberg,3
2014-01-01,Hannover,8
2014-01-01,FC Koln,1
2015-01-01,Hertha,8
2015-01-01,FC Koln,6
2015-01-01,Leverkusen,10
2015-01-01,Bayern Munich,14
2015-01-01,Wolfsburg,12
2015-01-01,M'gladbach,13
2015-01-01,Dortmund,13
2015-01-01,Schalke 04,10
2015-01-01,Ein Frankfurt,7
2015-01-01,Hoffenheim,5
2015-01-01,Stuttgart,7
2015-01-01,Mainz,8
2015-01-01,Paderborn,1
2015-01-01,Ingolstadt,2
2015-01-01,Hannover,3
2015-01-01,Darmstadt,1
2015-01-01,Werder Bremen,6
2015-01-01,Hamburg,5
2015-01-01,Augsburg,5
2015-01-01,Freiburg,4
2016-01-01,Dortmund,12
2016-01-01,M'gladbach,11
2016-01-01,Hertha,10
2016-01-01,Hoffenheim,9
2016-01-01,Ein Frankfurt,9
2016-01-01,Leverkusen,9
2016-01-01,Mainz,8
2016-01-01,Werder Bremen,7
2016-01-01,Schalke 04,7
2016-01-01,Ingolstadt,6
2016-01-01,Hamburg,5
2016-01-01,RB Leipzig,6
2016-01-01,Augsburg,3
2016-01-01,Freiburg,5
2016-01-01,Darmstadt,3
2016-01-01,Stuttgart,3
2016-01-01,Hannover,2
2016-01-01,Bayern Munich,13
2016-01-01,FC Koln,6
2016-01-01,Wolfsburg,4
2017-01-01,Ingolstadt,3
2017-01-01,Hannover,4
2017-01-01,Darmstadt,4
2017-01-01,Bayern Munich,13
2017-01-01,Hoffenheim,12
2017-01-01,Dortmund,12
2017-01-01,RB Leipzig,11
2017-01-01,Freiburg,8
2017-01-01,Hamburg,9
2017-01-01,Hertha,9
2017-01-01,Schalke 04,9
2017-01-01,Leverkusen,6
2017-01-01,M'gladbach,8
2017-01-01,Ein Frankfurt,4
2017-01-01,FC Koln,6
2017-01-01,Werder Bremen,7
2017-01-01,Stuttgart,5
2017-01-01,Mainz,7
2017-01-01,Augsburg,6
2017-01-01,Wolfsburg,6
2018-01-01,Stuttgart,8
2018-01-01,Dortmund,13
2018-01-01,M'gladbach,12
2018-01-01,Bayern Munich,11
2018-01-01,RB Leipzig,11
2018-01-01,Ein Frankfurt,10
2018-01-01,Hoffenheim,9
2018-01-01,Werder Bremen,7
2018-01-01,Freiburg,7
2018-01-01,Hannover,6
2018-01-01,Schalke 04,8
2018-01-01,Leverkusen,8
2018-01-01,FC Koln,2
2018-01-01,Hamburg,3
2018-01-01,Fortuna Dusseldorf,4
2018-01-01,Nurnberg,2
2018-01-01,Wolfsburg,4
2018-01-01,Hertha,5
2018-01-01,Mainz,6
2018-01-01,Augsburg,4
2019-01-01,Freiburg,7
2019-01-01,Bayern Munich,15
2019-01-01,Dortmund,11
2019-01-01,Ein Frankfurt,8
2019-01-01,RB Leipzig,8
2019-01-01,Wolfsburg,8
2019-01-01,Leverkusen,8
2019-01-01,M'gladbach,8
2019-01-01,Augsburg,8
2019-01-01,Hoffenheim,8
2019-01-01,Paderborn,2
2019-01-01,Mainz,8
2019-01-01,Fortuna Dusseldorf,8
2019-01-01,Hannover,3
2019-01-01,FC Koln,3
2019-01-01,Stuttgart,3
2019-01-01,Nurnberg,1
2019-01-01,Hertha,5
2019-01-01,Schalke 04,5
2019-01-01,Werder Bremen,6
2019-01-01,Union Berlin,5
2020-01-01,Freiburg,2
2020-01-01,Leverkusen,4
2020-01-01,Bayern Munich,3
2020-01-01,FC Koln,3
2020-01-01,RB Leipzig,2
2020-01-01,M'gladbach,2
2020-01-01,Ein Frankfurt,2
2020-01-01,Mainz,1
2020-01-01,Hoffenheim,1
2020-01-01,Wolfsburg,1
2020-01-01,Augsburg,1
2020-01-01,Union Berlin,1
2020-01-01,Fortuna Dusseldorf,0
2020-01-01,Hertha,0
2020-01-01,Paderborn,0
2020-01-01,Werder Bremen,0
2020-01-01,Schalke 04,1
2020-01-01,Dortmund,4
