date,name,value
2013-01-01,Vallecano,2
2013-01-01,Ath Madrid,9
2013-01-01,Barcelona,8
2013-01-01,Ath Bilbao,7
2013-01-01,Real Madrid,7
2013-01-01,Sociedad,5
2013-01-01,Villarreal,4
2013-01-01,Espanol,4
2013-01-01,Getafe,4
2013-01-01,Sevilla,4
2013-01-01,Granada,2
2013-01-01,Malaga,4
2013-01-01,Betis,2
2013-01-01,Levante,2
2013-01-01,Valladolid,2
2013-01-01,Elche,2
2013-01-01,Osasuna,2
2013-01-01,Celta,1
2013-01-01,Almeria,1
2013-01-01,Valencia,4
2014-01-01,Malaga,9
2014-01-01,Ath Bilbao,9
2014-01-01,Villarreal,10
2014-01-01,Valencia,12
2014-01-01,Barcelona,15
2014-01-01,Ath Madrid,12
2014-01-01,Real Madrid,15
2014-01-01,Sociedad,9
2014-01-01,Sevilla,12
2014-01-01,Espanol,7
2014-01-01,Celta,8
2014-01-01,Vallecano,8
2014-01-01,Elche,5
2014-01-01,Granada,6
2014-01-01,Almeria,5
2014-01-01,Getafe,4
2014-01-01,Valladolid,4
2014-01-01,Osasuna,4
2014-01-01,Betis,3
2014-01-01,Eibar,2
2014-01-01,La Coruna,2
2014-01-01,Levante,7
2014-01-01,Cordoba,0
2015-01-01,Espanol,8
2015-01-01,Celta,9
2015-01-01,Ath Bilbao,10
2015-01-01,Valencia,12
2015-01-01,Real Madrid,17
2015-01-01,Ath Madrid,14
2015-01-01,Sevilla,15
2015-01-01,Barcelona,17
2015-01-01,Getafe,8
2015-01-01,Villarreal,14
2015-01-01,Sociedad,8
2015-01-01,Levante,5
2015-01-01,La Coruna,6
2015-01-01,Vallecano,9
2015-01-01,Cordoba,1
2015-01-01,Betis,1
2015-01-01,Almeria,3
2015-01-01,Sp Gijon,2
2015-01-01,Elche,5
2015-01-01,Granada,4
2015-01-01,Eibar,7
2015-01-01,Malaga,6
2015-01-01,Las Palmas,4
2016-01-01,Ath Madrid,14
2016-01-01,Sevilla,14
2016-01-01,Ath Bilbao,12
2016-01-01,Barcelona,12
2016-01-01,Villarreal,11
2016-01-01,Malaga,10
2016-01-01,Sociedad,10
2016-01-01,Celta,10
2016-01-01,Eibar,9
2016-01-01,Las Palmas,8
2016-01-01,Sp Gijon,8
2016-01-01,Espanol,7
2016-01-01,Granada,6
2016-01-01,La Coruna,5
2016-01-01,Vallecano,5
2016-01-01,Valencia,4
2016-01-01,Alaves,2
2016-01-01,Getafe,2
2016-01-01,Leganes,1
2016-01-01,Osasuna,0
2016-01-01,Real Madrid,15
2016-01-01,Betis,8
2016-01-01,Levante,6
2017-01-01,Sp Gijon,2
2017-01-01,Granada,3
2017-01-01,Levante,2
2017-01-01,Barcelona,18
2017-01-01,Sevilla,13
2017-01-01,Real Madrid,13
2017-01-01,Valencia,13
2017-01-01,Ath Madrid,13
2017-01-01,Ath Bilbao,9
2017-01-01,Eibar,10
2017-01-01,Villarreal,9
2017-01-01,Sociedad,8
2017-01-01,Espanol,11
2017-01-01,Betis,7
2017-01-01,Alaves,8
2017-01-01,Girona,3
2017-01-01,Getafe,5
2017-01-01,Malaga,7
2017-01-01,Osasuna,2
2017-01-01,Las Palmas,7
2017-01-01,Celta,7
2017-01-01,Leganes,7
2017-01-01,La Coruna,6
2018-01-01,Espanol,8
2018-01-01,Barcelona,15
2018-01-01,Real Madrid,13
2018-01-01,Sevilla,11
2018-01-01,Alaves,10
2018-01-01,Betis,10
2018-01-01,Celta,8
2018-01-01,Valencia,9
2018-01-01,Leganes,9
2018-01-01,Villarreal,8
2018-01-01,Ath Madrid,15
2018-01-01,Ath Bilbao,6
2018-01-01,Getafe,8
2018-01-01,Malaga,2
2018-01-01,Las Palmas,2
2018-01-01,Valladolid,2
2018-01-01,La Coruna,1
2018-01-01,Huesca,0
2018-01-01,Girona,7
2018-01-01,Eibar,7
2018-01-01,Sociedad,8
2018-01-01,Levante,8
2018-01-01,Vallecano,2
2019-01-01,Levante,8
2019-01-01,Barcelona,17
2019-01-01,Ath Bilbao,13
2019-01-01,Ath Madrid,13
2019-01-01,Real Madrid,13
2019-01-01,Getafe,12
2019-01-01,Valencia,9
2019-01-01,Sevilla,10
2019-01-01,Villarreal,8
2019-01-01,Betis,9
2019-01-01,Sociedad,10
2019-01-01,Alaves,7
2019-01-01,Eibar,9
2019-01-01,Vallecano,3
2019-01-01,Osasuna,3
2019-01-01,Mallorca,4
2019-01-01,Granada,5
2019-01-01,Girona,1
2019-01-01,Valladolid,5
2019-01-01,Espanol,6
2019-01-01,Celta,7
2019-01-01,Leganes,7
2019-01-01,Huesca,5
2020-01-01,Celta,2
2020-01-01,Valencia,4
2020-01-01,Sociedad,4
2020-01-01,Ath Madrid,3
2020-01-01,Granada,3
2020-01-01,Real Madrid,3
2020-01-01,Sevilla,2
2020-01-01,Alaves,2
2020-01-01,Betis,2
2020-01-01,Mallorca,2
2020-01-01,Getafe,2
2020-01-01,Levante,2
2020-01-01,Osasuna,2
2020-01-01,Espanol,1
2020-01-01,Villarreal,2
2020-01-01,Leganes,1
2020-01-01,Valladolid,1
2020-01-01,Ath Bilbao,1
2020-01-01,Eibar,2
2020-01-01,Barcelona,5
