date,name,value
2013-01-01,Sunderland,2
2013-01-01,Man City,10
2013-01-01,Chelsea,9
2013-01-01,Liverpool,8
2013-01-01,Everton,6
2013-01-01,Arsenal,6
2013-01-01,Hull,5
2013-01-01,Newcastle,5
2013-01-01,Stoke,4
2013-01-01,Southampton,4
2013-01-01,Fulham,2
2013-01-01,Man United,4
2013-01-01,Cardiff,3
2013-01-01,Norwich,3
2013-01-01,Crystal Palace,3
2013-01-01,Swansea,2
2013-01-01,West Brom,2
2013-01-01,West Ham,2
2013-01-01,Aston Villa,2
2013-01-01,Tottenham,4
2014-01-01,West Ham,11
2014-01-01,Tottenham,11
2014-01-01,Southampton,10
2014-01-01,Man United,13
2014-01-01,Chelsea,15
2014-01-01,Man City,13
2014-01-01,Arsenal,12
2014-01-01,Everton,10
2014-01-01,Liverpool,12
2014-01-01,Swansea,10
2014-01-01,Stoke,10
2014-01-01,Crystal Palace,7
2014-01-01,Aston Villa,6
2014-01-01,West Brom,4
2014-01-01,Sunderland,4
2014-01-01,QPR,5
2014-01-01,Hull,3
2014-01-01,Norwich,3
2014-01-01,Fulham,3
2014-01-01,Burnley,2
2014-01-01,Cardiff,2
2014-01-01,Newcastle,8
2014-01-01,Leicester,1
2015-01-01,Southampton,9
2015-01-01,Stoke,10
2015-01-01,Liverpool,10
2015-01-01,Man United,10
2015-01-01,Man City,16
2015-01-01,Leicester,11
2015-01-01,Tottenham,11
2015-01-01,Arsenal,13
2015-01-01,Everton,7
2015-01-01,Chelsea,10
2015-01-01,Crystal Palace,8
2015-01-01,Sunderland,5
2015-01-01,Swansea,6
2015-01-01,West Brom,8
2015-01-01,QPR,1
2015-01-01,Burnley,2
2015-01-01,Norwich,3
2015-01-01,Bournemouth,2
2015-01-01,Hull,4
2015-01-01,Aston Villa,3
2015-01-01,Newcastle,4
2015-01-01,West Ham,6
2015-01-01,Watford,4
2016-01-01,Leicester,12
2016-01-01,Arsenal,12
2016-01-01,Liverpool,11
2016-01-01,Tottenham,12
2016-01-01,Chelsea,10
2016-01-01,Southampton,11
2016-01-01,West Ham,10
2016-01-01,Man City,9
2016-01-01,Everton,7
2016-01-01,Stoke,7
2016-01-01,West Brom,7
2016-01-01,Sunderland,7
2016-01-01,Swansea,7
2016-01-01,Watford,6
2016-01-01,Newcastle,5
2016-01-01,Crystal Palace,4
2016-01-01,Norwich,3
2016-01-01,Middlesbrough,3
2016-01-01,Hull,2
2016-01-01,Aston Villa,2
2016-01-01,Man United,13
2016-01-01,Bournemouth,8
2016-01-01,Burnley,7
2017-01-01,Sunderland,0
2017-01-01,Newcastle,3
2017-01-01,Middlesbrough,1
2017-01-01,Tottenham,16
2017-01-01,Arsenal,16
2017-01-01,Man City,15
2017-01-01,Chelsea,16
2017-01-01,Everton,15
2017-01-01,Man United,11
2017-01-01,Leicester,9
2017-01-01,Stoke,8
2017-01-01,Burnley,8
2017-01-01,Liverpool,11
2017-01-01,Swansea,8
2017-01-01,Bournemouth,7
2017-01-01,Huddersfield,4
2017-01-01,Hull,6
2017-01-01,West Ham,6
2017-01-01,Brighton,3
2017-01-01,West Brom,6
2017-01-01,Watford,7
2017-01-01,Crystal Palace,7
2017-01-01,Southampton,5
2018-01-01,Watford,9
2018-01-01,Liverpool,15
2018-01-01,Arsenal,14
2018-01-01,Man United,13
2018-01-01,Tottenham,13
2018-01-01,Brighton,9
2018-01-01,Chelsea,9
2018-01-01,Everton,9
2018-01-01,Bournemouth,9
2018-01-01,West Ham,8
2018-01-01,Man City,16
2018-01-01,Newcastle,7
2018-01-01,Leicester,7
2018-01-01,West Brom,2
2018-01-01,Huddersfield,3
2018-01-01,Fulham,3
2018-01-01,Swansea,4
2018-01-01,Stoke,1
2018-01-01,Wolves,4
2018-01-01,Southampton,2
2018-01-01,Burnley,5
2018-01-01,Crystal Palace,6
2018-01-01,Cardiff,4
2019-01-01,Everton,10
2019-01-01,Liverpool,18
2019-01-01,Man City,16
2019-01-01,Tottenham,12
2019-01-01,Leicester,11
2019-01-01,Wolves,10
2019-01-01,Arsenal,10
2019-01-01,Man United,9
2019-01-01,Newcastle,10
2019-01-01,Burnley,9
2019-01-01,Chelsea,10
2019-01-01,West Ham,7
2019-01-01,Crystal Palace,7
2019-01-01,Cardiff,2
2019-01-01,Norwich,2
2019-01-01,Fulham,3
2019-01-01,Sheffield United,4
2019-01-01,Huddersfield,1
2019-01-01,Brighton,5
2019-01-01,Watford,5
2019-01-01,Bournemouth,5
2019-01-01,Southampton,6
2019-01-01,Aston Villa,4
2020-01-01,Bournemouth,2
2020-01-01,Arsenal,4
2020-01-01,Chelsea,3
2020-01-01,Man United,3
2020-01-01,Sheffield United,3
2020-01-01,Burnley,2
2020-01-01,Everton,2
2020-01-01,West Ham,2
2020-01-01,Crystal Palace,2
2020-01-01,Tottenham,2
2020-01-01,Man City,2
2020-01-01,Norwich,2
2020-01-01,Watford,2
2020-01-01,Southampton,2
2020-01-01,Wolves,1
2020-01-01,Newcastle,1
2020-01-01,Aston Villa,1
2020-01-01,Brighton,0
2020-01-01,Leicester,2
2020-01-01,Liverpool,5
