date,name,value
2013-01-01,Sassuolo,2
2013-01-01,Juventus,8
2013-01-01,Verona,8
2013-01-01,Roma,7
2013-01-01,Napoli,6
2013-01-01,Inter,5
2013-01-01,Fiorentina,5
2013-01-01,Cagliari,4
2013-01-01,Lazio,5
2013-01-01,Torino,4
2013-01-01,Chievo,2
2013-01-01,Parma,3
2013-01-01,Udinese,4
2013-01-01,Genoa,3
2013-01-01,Milan,3
2013-01-01,Bologna,2
2013-01-01,Catania,2
2013-01-01,Livorno,2
2013-01-01,Sampdoria,2
2013-01-01,Atalanta,4
2014-01-01,Atalanta,9
2014-01-01,Udinese,9
2014-01-01,Sampdoria,9
2014-01-01,Lazio,10
2014-01-01,Juventus,17
2014-01-01,Milan,12
2014-01-01,Roma,15
2014-01-01,Torino,8
2014-01-01,Napoli,11
2014-01-01,Inter,6
2014-01-01,Genoa,8
2014-01-01,Fiorentina,6
2014-01-01,Sassuolo,5
2014-01-01,Chievo,5
2014-01-01,Catania,5
2014-01-01,Verona,4
2014-01-01,Cagliari,4
2014-01-01,Palermo,4
2014-01-01,Empoli,2
2014-01-01,Livorno,2
2014-01-01,Bologna,1
2014-01-01,Parma,7
2014-01-01,Cesena,1
2015-01-01,Sassuolo,9
2015-01-01,Roma,9
2015-01-01,Milan,10
2015-01-01,Inter,10
2015-01-01,Juventus,15
2015-01-01,Lazio,12
2015-01-01,Napoli,13
2015-01-01,Fiorentina,14
2015-01-01,Torino,9
2015-01-01,Genoa,10
2015-01-01,Sampdoria,8
2015-01-01,Verona,5
2015-01-01,Atalanta,7
2015-01-01,Empoli,8
2015-01-01,Carpi,1
2015-01-01,Cesena,2
2015-01-01,Frosinone,4
2015-01-01,Bologna,3
2015-01-01,Parma,4
2015-01-01,Udinese,4
2015-01-01,Palermo,7
2015-01-01,Chievo,6
2015-01-01,Cagliari,4
2016-01-01,Roma,16
2016-01-01,Napoli,16
2016-01-01,Inter,13
2016-01-01,Genoa,10
2016-01-01,Milan,10
2016-01-01,Lazio,11
2016-01-01,Chievo,8
2016-01-01,Fiorentina,8
2016-01-01,Atalanta,9
2016-01-01,Sassuolo,8
2016-01-01,Udinese,8
2016-01-01,Sampdoria,8
2016-01-01,Bologna,6
2016-01-01,Empoli,5
2016-01-01,Carpi,5
2016-01-01,Verona,4
2016-01-01,Palermo,3
2016-01-01,Frosinone,2
2016-01-01,Crotone,2
2016-01-01,Pescara,0
2016-01-01,Juventus,20
2016-01-01,Torino,8
2016-01-01,Cagliari,6
2017-01-01,Benevento,1
2017-01-01,Pescara,2
2017-01-01,Verona,2
2017-01-01,Juventus,17
2017-01-01,Roma,14
2017-01-01,Napoli,13
2017-01-01,Atalanta,11
2017-01-01,Inter,12
2017-01-01,Sampdoria,10
2017-01-01,Lazio,10
2017-01-01,Milan,10
2017-01-01,Udinese,9
2017-01-01,Fiorentina,10
2017-01-01,Torino,5
2017-01-01,Cagliari,8
2017-01-01,Empoli,3
2017-01-01,Palermo,4
2017-01-01,Genoa,3
2017-01-01,Spal,2
2017-01-01,Chievo,5
2017-01-01,Bologna,6
2017-01-01,Crotone,7
2017-01-01,Sassuolo,5
2018-01-01,Roma,9
2018-01-01,Napoli,16
2018-01-01,Milan,12
2018-01-01,Inter,11
2018-01-01,Lazio,10
2018-01-01,Sampdoria,10
2018-01-01,Genoa,9
2018-01-01,Torino,10
2018-01-01,Fiorentina,9
2018-01-01,Atalanta,8
2018-01-01,Juventus,17
2018-01-01,Sassuolo,5
2018-01-01,Cagliari,6
2018-01-01,Verona,3
2018-01-01,Parma,3
2018-01-01,Empoli,4
2018-01-01,Crotone,3
2018-01-01,Frosinone,0
2018-01-01,Udinese,4
2018-01-01,Chievo,5
2018-01-01,Bologna,6
2018-01-01,Spal,5
2018-01-01,Benevento,4
2019-01-01,Milan,8
2019-01-01,Juventus,13
2019-01-01,Roma,12
2019-01-01,Inter,10
2019-01-01,Torino,11
2019-01-01,Atalanta,10
2019-01-01,Lazio,10
2019-01-01,Cagliari,10
2019-01-01,Udinese,9
2019-01-01,Napoli,8
2019-01-01,Bologna,10
2019-01-01,Parma,6
2019-01-01,Sampdoria,7
2019-01-01,Lecce,0
2019-01-01,Frosinone,1
2019-01-01,Brescia,1
2019-01-01,Verona,3
2019-01-01,Chievo,0
2019-01-01,Genoa,4
2019-01-01,Empoli,5
2019-01-01,Spal,5
2019-01-01,Sassuolo,5
2019-01-01,Fiorentina,2
2020-01-01,Bologna,1
2020-01-01,Juventus,5
2020-01-01,Sassuolo,3
2020-01-01,Verona,3
2020-01-01,Milan,2
2020-01-01,Atalanta,2
2020-01-01,Lecce,2
2020-01-01,Sampdoria,2
2020-01-01,Genoa,2
2020-01-01,Roma,1
2020-01-01,Parma,2
2020-01-01,Fiorentina,1
2020-01-01,Inter,1
2020-01-01,Udinese,1
2020-01-01,Torino,1
2020-01-01,Brescia,0
2020-01-01,Cagliari,0
2020-01-01,Spal,0
2020-01-01,Napoli,2
2020-01-01,Lazio,5
