Div,HomeTeam,AwayTeam,rivalry
D1,Augsburg,Bayern Munich,0
D1,Augsburg,Dortmund,0
D1,Augsburg,Hamburg,1
D1,Augsburg,Leverkusen,0
D1,Augsburg,Schalke 04,0
D1,Augsburg,Stuttgart,1
D1,Bayern Munich,Dortmund,1
D1,Bayern Munich,Ein Frankfurt,1
D1,Bayern Munich,FC Koln,1
D1,Bayern Munich,Freiburg,1
D1,Bayern Munich,Hamburg,1
D1,Bayern Munich,Hannover,1
D1,Bayern Munich,Leverkusen,1
D1,Bayern Munich,Stuttgart,1
D1,Bayern Munich,Werder Bremen,1
D1,Bayern Munich,Wolfsburg,1
D1,Dortmund,Ein Frankfurt,1
D1,Dortmund,Freiburg,1
D1,Dortmund,Hamburg,1
D1,Dortmund,Hannover,1
D1,Dortmund,Hoffenheim,1
D1,Dortmund,M'gladbach,1
D1,Dortmund,Mainz,1
D1,Dortmund,Stuttgart,1
D1,Ein Frankfurt,Bayern Munich,0
D1,Ein Frankfurt,FC Koln,1
D1,Ein Frankfurt,Hertha,0
D1,Ein Frankfurt,Wolfsburg,0
D1,FC Koln,Augsburg,0
D1,FC Koln,Bayern Munich,0
D1,FC Koln,Hertha,0
D1,FC Koln,Hoffenheim,0
D1,Freiburg,Bayern Munich,0
D1,Freiburg,Dortmund,0
D1,Freiburg,M'gladbach,1
D1,Freiburg,Wolfsburg,0
D1,Hamburg,Bayern Munich,0
D1,Hamburg,Ein Frankfurt,0
D1,Hamburg,Mainz,0
D1,Hamburg,Wolfsburg,0
D1,Hannover,Bayern Munich,0
D1,Hannover,Dortmund,0
D1,Hannover,Hertha,0
D1,Hannover,Leverkusen,0
D1,Hannover,Stuttgart,0
D1,Hertha,Bayern Munich,0
D1,Hertha,Hamburg,1
D1,Hertha,Hannover,0
D1,Hertha,Hoffenheim,0
D1,Hertha,Stuttgart,1
D1,Hertha,Werder Bremen,0
D1,Hoffenheim,Hannover,1
D1,Hoffenheim,Stuttgart,1
D1,Leverkusen,Hamburg,1
D1,Leverkusen,Hannover,1
D1,Leverkusen,Stuttgart,1
D1,M'gladbach,FC Koln,1
D1,M'gladbach,Freiburg,1
D1,M'gladbach,Hannover,1
D1,M'gladbach,Hertha,1
D1,Mainz,Augsburg,1
D1,Mainz,Bayern Munich,0
D1,Mainz,Dortmund,0
D1,Mainz,M'gladbach,0
D1,Schalke 04,Bayern Munich,0
D1,Schalke 04,FC Koln,0
D1,Schalke 04,Hannover,1
D1,Schalke 04,Hertha,1
D1,Schalke 04,Leverkusen,0
D1,Schalke 04,Mainz,1
D1,Schalke 04,Wolfsburg,1
D1,Stuttgart,Augsburg,0
D1,Stuttgart,Bayern Munich,0
D1,Stuttgart,Dortmund,0
D1,Stuttgart,Leverkusen,0
D1,Stuttgart,Schalke 04,0
D1,Werder Bremen,Bayern Munich,0
D1,Werder Bremen,Dortmund,0
D1,Werder Bremen,Freiburg,0
D1,Werder Bremen,Hamburg,1
D1,Werder Bremen,Hoffenheim,0
D1,Werder Bremen,M'gladbach,0
D1,Werder Bremen,Mainz,0
D1,Wolfsburg,Bayern Munich,0
D1,Wolfsburg,Hannover,0
D1,Wolfsburg,Stuttgart,1
E0,Arsenal,Bournemouth,1
E0,Arsenal,Burnley,1
E0,Arsenal,Everton,1
E0,Arsenal,Leicester,1
E0,Arsenal,Man City,0
E0,Arsenal,Newcastle,1
E0,Arsenal,Stoke,1
