Div,HomeTeam,year,win
I1,Palermo,2017,4
I1,Empoli,2017,3
I1,Spal,2017,2
I1,Pescara,2017,2
I1,Verona,2017,2
I1,Benevento,2017,1
I1,Juventus,2016,20
I1,Roma,2016,16
I1,Napoli,2016,16
I1,Inter,2016,13
I1,Genoa,2016,10
I1,Milan,2016,10
I1,Lazio,2016,11
I1,Chievo,2016,8
I1,Fiorentina,2016,8
I1,Atalanta,2016,9
I1,Sassuolo,2016,8
I1,Torino,2016,8
I1,Sampdoria,2016,8
I1,Udinese,2016,8
I1,Bologna,2016,6
I1,Empoli,2016,5
I1,Cagliari,2016,6
I1,Carpi,2016,5
I1,Verona,2016,4
I1,Palermo,2016,3
I1,Frosinone,2016,2
I1,Crotone,2016,2
I1,Pescara,2016,0
I1,Juventus,2015,15
I1,Fiorentina,2015,14
I1,Napoli,2015,13
I1,Lazio,2015,12
I1,Genoa,2015,10
I1,Inter,2015,10
I1,Milan,2015,10
I1,Roma,2015,9
I1,Sassuolo,2015,9
I1,Torino,2015,9
I1,Sampdoria,2015,8
I1,Empoli,2015,8
I1,Atalanta,2015,7
I1,Chievo,2015,6
I1,Palermo,2015,7
I1,Verona,2015,5
I1,Udinese,2015,4
I1,Parma,2015,4
I1,Cagliari,2015,4
I1,Frosinone,2015,4
I1,Bologna,2015,3
I1,Cesena,2015,2
I1,Carpi,2015,1
I1,Juventus,2014,17
I1,Roma,2014,15
I1,Milan,2014,12
I1,Napoli,2014,11
I1,Lazio,2014,10
I1,Sampdoria,2014,9
I1,Udinese,2014,9
I1,Atalanta,2014,9
I1,Torino,2014,8
I1,Genoa,2014,8
I1,Inter,2014,6
I1,Parma,2014,7
I1,Fiorentina,2014,6
I1,Sassuolo,2014,5
I1,Chievo,2014,5
I1,Catania,2014,5
I1,Verona,2014,4
I1,Cagliari,2014,4
I1,Palermo,2014,4
I1,Empoli,2014,2
I1,Livorno,2014,2
I1,Bologna,2014,1
I1,Cesena,2014,1
I1,Juventus,2013,8
I1,Verona,2013,8
I1,Roma,2013,7
I1,Napoli,2013,6
I1,Inter,2013,5
I1,Fiorentina,2013,5
I1,Cagliari,2013,4
I1,Lazio,2013,5
I1,Torino,2013,4
I1,Atalanta,2013,4
I1,Parma,2013,3
I1,Udinese,2013,4
I1,Genoa,2013,3
I1,Milan,2013,3
I1,Bologna,2013,2
I1,Catania,2013,2
I1,Livorno,2013,2
I1,Sampdoria,2013,2
I1,Chievo,2013,2
I1,Sassuolo,2013,2
F1,Paris SG,2020,4
F1,Nimes,2020,4
F1,Dijon,2020,3
F1,Montpellier,2020,3
F1,Rennes,2020,3
F1,Lille,2020,3
F1,Metz,2020,3
F1,Lyon,2020,2
F1,Nice,2020,2
F1,Angers,2020,2
F1,Brest,2020,2
F1,Monaco,2020,2
F1,Reims,2020,2
F1,Marseille,2020,1
F1,St Etienne,2020,1
F1,Strasbourg,2020,1
F1,Amiens,2020,0
F1,Bordeaux,2020,0
F1,Nantes,2020,0
F1,Toulouse,2020,0
F1,Paris SG,2019,16
F1,Lille,2019,15
F1,Marseille,2019,13
F1,Nice,2019,13
F1,Montpellier,2019,11
F1,Nantes,2019,12
F1,Rennes,2019,10
F1,Angers,2019,9
F1,Monaco,2019,10
F1,Lyon,2019,9
F1,Nimes,2019,9
F1,St Etienne,2019,9
F1,Reims,2019,7
F1,Strasbourg,2019,8
F1,Amiens,2019,7
F1,Dijon,2019,7
F1,Bordeaux,2019,7
F1,Toulouse,2019,5
F1,Brest,2019,4
F1,Guingamp,2019,3
F1,Metz,2019,2
F1,Caen,2019,2
F1,Paris SG,2018,16
F1,Lyon,2018,13
F1,St Etienne,2018,12
F1,Marseille,2018,11
F1,Bordeaux,2018,9
F1,Lille,2018,9
F1,Rennes,2018,8
F1,Nice,2018,8
F1,Strasbourg,2018,7
F1,Montpellier,2018,6
F1,Monaco,2018,7
F1,Amiens,2018,7
F1,Angers,2018,6
F1,Dijon,2018,7
F1,Nantes,2018,5
F1,Toulouse,2018,5
F1,Caen,2018,4
F1,Reims,2018,4
F1,Guingamp,2018,3
F1,Troyes,2018,3
F1,Metz,2018,2
F1,Nimes,2018,2
F1,Monaco,2017,17
F1,Paris SG,2017,16
F1,Marseille,2017,13
F1,Guingamp,2017,11
F1,Nantes,2017,12
F1,Lyon,2017,11
