name,pred,order
Cagliari,10,1
Parma,11,2
Fiorentina,11,3
Verona,11,4
Bologna,12,5
Napoli,12,6
Torino,13,7
Atalanta,13,8
Genoa,13,9
Udinese,13,10
Lecce,13,11
Roma,14,12
Spal,15,13
Sassuolo,15,14
Sampdoria,16,15
Inter,17,16
Milan,17,17
Lazio,18,18
Brescia,18,19
Juventus,18,20
