Div,HomeTeam,Win
F1,Paris SG,12
F1,Lille,11
F1,Montpellier,10
F1,Rennes,9
F1,Marseille,8
F1,Nice,8
F1,Angers,8
F1,Monaco,8
F1,Brest,6
F1,Dijon,6
F1,Strasbourg,7
F1,Reims,5
F1,Nantes,6
F1,Nimes,6
F1,Lyon,5
F1,Metz,5
F1,St Etienne,4
F1,Bordeaux,4
F1,Amiens,3
F1,Toulouse,3
