team,value
real madrid,58
fc barcelona,56
atletico madrid,47
valencia cf,46
real sociedad,46
sevilla fc,45
real betis,42
athletic bilbao,38
villarreal cf,38
getafe cf,37
celta vigo,34
espanyol barcelona,33
deportivo alaves,33
levante ud,32
cd leganes,29
real valladolid,27
rcd mallorca,26
ca osasuna,25
granada cf,23
sd eibar,20
