country_code,country_name,season,accuracy_percentage
Belgium,BEL,2011/2012,55.46218487394958
England,GBR,2011/2012,52.10526315789473
France,FRA,2011/2012,52.10526315789473
Germany,DEU,2011/2012,50.98039215686274
Italy,ITA,2011/2012,49.85994397759104
Netherlands,NLD,2011/2012,59.150326797385624
Portugal,PRT,2011/2012,57.56302521008403
Scotland,SCOT,2011/2012,52.63157894736842
Spain,ESP,2011/2012,53.68421052631579
CHE,CHE,2011/2012,0.0
POL,POL,2011/2012,0.0
