,country_code,country_name,season,accuracy_percentage
12,England,GBR ,2013/2014,60.0
20,France,FRA,2013/2014,51.84210526315789
28,Germany,DEU,2013/2014,54.57516339869281
36,Italy,ITA,2013/2014,57.631578947368425
44,Netherlands,NLD,2013/2014,49.01960784313725
52,Portugal,PRT,2013/2014,52.719665271966534
60,Scotland,SCOT,2013/2014,55.26315789473685
68,Spain,ESP,2013/2014,53.68421052631579
