,country_code,country_name,season,accuracy_percentage
6,Belgium,BEL,2015/2016,52.5
14,England,GBR ,2015/2016,47.4934036939314
22,France,FRA,2015/2016,48.94736842105264
30,Germany,DEU,2015/2016,52.28758169934641
38,Italy,ITA,2015/2016,52.89473684210526
46,Netherlands,NLD,2015/2016,55.55555555555556
54,Portugal,PRT,2015/2016,54.248366013071895
62,Scotland,GBBR,2015/2016,47.368421052631575
70,Spain,ESP,2015/2016,55.26315789473685
