team,value
Real Madrid,257
Sevilla,253
Vallecano,227
Barcelona,222
Ath Madrid,207
Ath Bilbao,207
Sociedad,199
Celta,196
Malaga,193
La Coruna,191
Valencia,185
Getafe,183
Espanol,179
Villarreal,174
Eibar,173
Sp Gijon,167
Levante,165
Betis,164
Las Palmas,150
Granada,148
