team,value
Man City,32
Liverpool,30
Tottenham,23
Arsenal,21
Chelsea,21
Man United,19
Wolves,16
Everton,15
Leicester,15
West Ham,15
Watford,14
Crystal Palace,14
Bournemouth,13
Newcastle,12
Burnley,11
Cardiff,10
Southampton,9
Brighton,9
Fulham,7
Huddersfield,3
