team,value
Dijon,22
Guingamp,21
Caen,19
Amiens,18
Monaco,18
Bordeaux,17
Nantes,16
Toulouse,16
Nimes,15
Marseille,13
Angers,12
Nice,12
Rennes,12
Strasbourg,11
St Etienne,10
Montpellier,9
Reims,9
Lyon,8
Lille,7
Paris SG,5
