team,value
Arsenal,0
Liverpool,0
Norwich,0
Sunderland,0
Swansea,0
West Brom,0
West Ham,0
Chelsea,0
Crystal Palace,0
Man City,0
Aston Villa,0
Everton,0
Fulham,0
Hull,0
Newcastle,0
Southampton,0
Stoke,0
Cardiff,0
Tottenham,0
Man United,0
