team,value
Montpellier,14
Lyon,7
Bordeaux,6
Lille,6
Bastia,6
Lorient,6
Evian Thonon Gaillard,5
Guingamp,5
Sochaux,5
Nice,5
Toulouse,5
Nantes,4
Rennes,4
Ajaccio,4
Reims,3
Valenciennes,2
St Etienne,2
Paris SG,1
Marseille,0
Monaco,0
nan,0
