team,value
Bayern Munich,287
RB Leipzig,190
M'gladbach,189
Leverkusen,189
Hoffenheim,182
Ein Frankfurt,179
Wolfsburg,175
Stuttgart,170
Werder Bremen,168
Dortmund,168
Schalke 04,155
Freiburg,151
Nurnberg,151
Mainz,150
Hertha,147
Fortuna Dusseldorf,144
Hannover,143
Augsburg,142
