team,value
Inter,245
Lazio,243
Roma,236
Milan,230
Napoli,224
Juventus,212
Verona,209
Fiorentina,208
Sassuolo,202
Genoa,197
Udinese,192
Atalanta,190
Bologna,184
Torino,181
Carpi,178
Sampdoria,172
Frosinone,170
Empoli,169
Palermo,164
Chievo,156
nan,0
