team,value
Sunderland,94
Stoke,82
Tottenham,79
Chelsea,77
Man City,77
QPR,75
Hull,71
Aston Villa,70
Arsenal,68
Liverpool,66
Newcastle,66
Everton,66
Man United,64
West Brom,64
West Ham,64
Burnley,64
Crystal Palace,63
Southampton,57
Leicester,49
Swansea,48

