team,value
Hertha,17
Paderborn,17
Hamburg,17
Stuttgart,16
Hannover,15
Augsburg,15
Dortmund,14
Hoffenheim,14
Freiburg,14
Ein Frankfurt,13
Werder Bremen,13
FC Koln,12
Schalke 04,12
Mainz,12
Leverkusen,7
Mgladbach,6
Bayern Munich,5
Wolfsburg,5
