team,value
Parma,24
Cesena,22
Cagliari,20
Udinese,17
Chievo,15
Atalanta,15
Verona,14
Palermo,13
Sassuolo,13
Milan,12
Torino,12
Empoli,12
Genoa,11
Inter,11
Lazio,11
Napoli,11
Fiorentina,10
Sampdoria,8
Roma,6
Juventus,3

