team,value
Betis,25
Vallecano,21
Granada,21
Almeria,20
Osasuna,19
Getafe,18
Espanol,18
Celta,17
Malaga,17
Valladolid,16
Elche,16
Valencia,15
Levante,14
Villarreal,13
Sociedad,11
Sevilla,11
Ath Bilbao,8
Barcelona,5
Real Madrid,5
Ath Madrid,4
