team,value
Ein Frankfurt,75
Werder Bremen,73
Hannover,71
Nurnberg,71
Leverkusen,69
Hoffenheim,63
Braunschweig,62
Freiburg,62
Augsburg,61
Stuttgart,60
Hertha,56
Hamburg,54
Wolfsburg,54
Mainz,53
Schalke 04,53
Mgladbach,50
Bayern Munich,45
Dortmund,43
