team,value
Granada,133
Levante,126
Getafe,122
Espanol,120
Celta,109
Vallecano,108
Betis,104
Sociedad,104
Malaga,103
Eibar,103
Valencia,101
Sp Gijon,98
Villarreal,96
Las Palmas,95
Sevilla,95
Ath Madrid,88
Ath Bilbao,83
La Coruna,80
Real Madrid,68
Barcelona,66
