team,value
Schalke 04,73
Hoffenheim,69
Fortuna Dusseldorf,67
Hertha,67
Stuttgart,66
Werder Bremen,64
Hannover,64
Wolfsburg,62
RB Leipzig,61
Ein Frankfurt,60
Nurnberg,59
Mainz,57
Freiburg,56
Augsburg,55
Leverkusen,50
Bayern Munich,44
M'gladbach,43
Dortmund,40
