team,value
Bayern Munich,29
Dortmund,22
Leverkusen,19
Schalke 04,19
Wolfsburg,18
Mainz,16
Mgladbach,16
Augsburg,15
Hannover,12
Hertha,11
Hoffenheim,11
Werder Bremen,10
Ein Frankfurt,9
Freiburg,9
Stuttgart,8
Hamburg,7
Braunschweig,6
Nurnberg,5
