team,value
Ajaccio GFCO,89
Monaco,84
Lille,83
Bastia,82
Bordeaux,80
Reims,80
Nantes,79
Guingamp,75
Marseille,71
Troyes,71
Toulouse,71
St Etienne,71
Angers,70
Rennes,67
Nice,66
Lyon,65
Montpellier,64
Lorient,63
Caen,52
Paris SG,45
