,country_code,country_name,season,accuracy_percentage
5,Belgium,BEL,2014/2015,51.24999999999999
13,England,GBR ,2014/2015,52.89473684210526
21,France,FRA,2014/2015,55.00000000000001
29,Germany,DEU,2014/2015,52.28758169934641
37,Italy,ITA,2014/2015,46.15384615384615
45,Netherlands,NLD,2014/2015,54.248366013071895
53,Portugal,PRT,2014/2015,53.94736842105263
61,Scotland,GBBR,2014/2015,53.94736842105263
69,Spain,ESP,2014/2015,57.36842105263158
