,country_name,season,accuracy_percentage
4,Belgium,2012/2013,47.863247863247864
11,England,2012/2013,52.89473684210526
19,France,2012/2013,51.578947368421055
27,Germany,2012/2013,50.49180327868853
35,Italy,2012/2013,55.145118733509236
43,Netherlands,2012/2013,50.6578947368421
51,Portugal,2012/2013,55.00000000000001
59,Scotland,2012/2013,39.91228070175439
67,Spain,2012/2013,54.21052631578947
