country_code,country_name,season,accuracy_percentage
Belgium,BEL,2011/2012,55.88235294117647
England,GBR,2011/2012,52.10526315789473
France,FRA,2011/2012,52.368421052631575
Germany,DEU,2011/2012,51.307189542483655
Italy,ITA,2011/2012,49.85994397759104
Netherlands,NLD,2011/2012,58.496732026143796
Portugal,PRT,2011/2012,58.40336134453782
Scotland,SCOT,2011/2012,53.07017543859649
Spain,ESP,2011/2012,54.736842105263165
CHE,CHE,2011/2012,0.0
POL,POL,2011/2012,0.0
