name,correct_pred,wrong_pred
Werder Bremen,13,21
Freiburg,14,20
Hoffenheim,15,19
Augsburg,16,18
Hertha,16,18
Wolfsburg,16,18
Schalke 04,16,18
M'gladbach,17,17
Fortuna Dusseldorf,18,16
Ein Frankfurt,18,16
Mainz,18,16
RB Leipzig,19,15
Nurnberg,21,13
Leverkusen,21,13
Stuttgart,22,12
Hannover,22,12
Dortmund,22,12
Bayern Munich,24,10
