name,correct_pred,wrong_pred
Sociedad,13,25
Granada,17,21
La Coruna,18,20
Celta,18,20
Malaga,19,19
Ath Bilbao,20,18
Villarreal,20,18
Vallecano,20,18
Getafe,20,18
Eibar,21,17
Almeria,22,16
Espanol,22,16
Cordoba,22,16
Levante,23,15
Elche,23,15
Valencia,23,15
Ath Madrid,24,14
Sevilla,27,11
Real Madrid,31,7
Barcelona,31,7
