name,correct_pred,wrong_pred
Schalke 04,12,22
Leverkusen,13,21
Hoffenheim,13,21
Augsburg,14,20
Wolfsburg,14,20
Ingolstadt,14,20
Ein Frankfurt,15,19
M'gladbach,15,19
Werder Bremen,16,18
Hamburg,17,17
FC Koln,18,16
Freiburg,18,16
RB Leipzig,18,16
Dortmund,18,16
Darmstadt,20,14
Mainz,21,13
Hertha,23,11
Bayern Munich,25,9
