Week,Return
0,-13.400000000000006
1,-75.10000000000001
2,-74.70000000000002
3,-86.30000000000001
4,-31.899999999999977
5,-27.599999999999966
6,-34.49999999999997
7,-72.59999999999997
8,-68.39999999999998
9,-102.29999999999998
10,-131.6
11,-87.8
12,-82.3
13,-88.1
14,-139.7
15,-134.29999999999998
16,-104.19999999999999
17,-157.89999999999998
18,-156.7
19,-163.6
20,-167.6
21,-163.1
22,-124.3
23,-101.5
24,-89.29999999999998
25,-88.89999999999999
26,-74.89999999999999
27,-32.19999999999999
28,-103.1
29,-129.0
30,-187.5
31,-156.6
