Week,Return
0,-67.0
1,-31.0
2,-62.5
3,-41.5
4,-92.5
5,-167.5
6,-144.5
7,-182.5
8,-182.0
9,-250.0
10,-350.0
11,-427.0
12,-403.0
13,-441.0
14,-471.0
15,-540.0
16,-320.0
17,-213.0
18,-149.7
19,-123.89999999999999
20,-233.89999999999998
21,-79.39999999999998
22,-97.39999999999998
23,-107.39999999999998
24,-25.899999999999977
25,-175.89999999999998
26,-144.89999999999998
27,-154.89999999999998
28,-244.89999999999998
29,-277.4
30,-269.9
31,-182.39999999999998
32,-152.39999999999998
33,-202.39999999999998
34,-129.89999999999998
