Week,Return
0,0.27999999999999936
1,1.0799999999999983
2,0.3299999999999983
3,-1.3600000000000012
4,-4.030000000000001
5,-3.1900000000000013
6,-7.360000000000001
7,-8.05
8,-4.649999999999999
9,-4.559999999999999
10,-3.1999999999999993
11,-7.159999999999999
12,-5.8
13,-11.86
14,-14.34
15,-14.65
16,-16.28
17,-16.720000000000002
18,-17.14
19,-16.119999999999997
20,-14.299999999999999
21,-13.5
22,-6.469999999999999
23,-6.67
24,-6.59
25,-8.879999999999999
26,-9.549999999999999
27,-10.85
28,-11.059999999999999
29,-11.669999999999998
30,-13.869999999999997
31,-15.169999999999998
32,-25.269999999999996
33,-25.689999999999998
34,-26.279999999999998
35,-29.4
