Week,Return
0,-3.55
1,-6.169999999999999
2,-14.969999999999999
3,-18.31
4,-17.75
5,-25.61
6,-27.490000000000002
7,-30.520000000000003
8,-29.330000000000005
9,-33.85000000000001
10,-36.31000000000001
11,-38.13000000000001
12,-37.35000000000001
13,-41.66000000000001
14,-41.91000000000001
15,-45.890000000000015
16,-52.530000000000015
17,-53.610000000000014
18,-49.02000000000002
19,-44.40000000000002
20,-46.94000000000002
21,-50.990000000000016
22,-51.65000000000002
23,-50.30000000000002
24,-50.280000000000015
25,-46.990000000000016
26,-52.81000000000002
27,-53.610000000000014
28,-51.38000000000001
29,-52.46000000000001
30,-52.27000000000001
31,-54.56000000000001
32,-53.81000000000001
33,-53.93000000000001
34,-53.67000000000001
