Week,Return
0,-9.0
1,-1.3000000000000007
2,-3.0500000000000007
3,0.34999999999999964
4,2.4999999999999982
5,14.449999999999998
6,12.699999999999998
7,7.1999999999999975
8,-1.8000000000000025
9,-3.450000000000003
10,-1.9000000000000021
11,-5.8000000000000025
12,-8.200000000000003
13,-9.950000000000003
14,-9.850000000000001
15,-14.850000000000001
16,-17.1
17,-13.600000000000001
18,-9.700000000000001
19,-10.600000000000001
20,-14.850000000000001
21,-7.400000000000002
22,-15.400000000000002
23,-16.150000000000002
24,-25.150000000000002
25,-26.550000000000004
26,-29.050000000000004
27,-37.050000000000004
28,-24.950000000000003
29,-22.450000000000003
30,-20.200000000000003
31,-29.200000000000003
