Week,Return
0,-6.7
1,-3.1000000000000005
2,-6.250000000000001
3,-4.150000000000001
4,-9.25
5,-16.75
6,-14.45
7,-18.25
8,-18.2
9,-25.0
10,-35.0
11,-42.7
12,-40.300000000000004
13,-44.10000000000001
14,-47.10000000000001
15,-54.00000000000001
16,-32.00000000000001
17,-21.300000000000008
18,-14.97000000000001
19,-12.39000000000001
20,-23.390000000000008
21,-7.940000000000005
22,-9.740000000000006
23,-10.740000000000006
24,-2.590000000000007
25,-17.590000000000007
26,-14.490000000000007
27,-15.490000000000007
28,-24.49000000000001
29,-27.74000000000001
30,-26.99000000000001
31,-18.24000000000001
32,-15.240000000000009
33,-20.24000000000001
34,-12.990000000000009
