Week,Return
0,6.300000000000001
1,6.0
2,6.5
3,8.1
4,0.6999999999999993
5,14.129999999999999
6,24.98
7,49.18000000000001
8,40.480000000000004
9,42.480000000000004
10,51.18000000000001
11,60.63000000000001
12,53.93000000000001
13,58.68000000000001
14,51.88000000000001
15,53.08000000000001
16,63.88000000000001
17,57.68000000000001
18,50.980000000000004
19,43.980000000000004
20,48.480000000000004
21,45.78
22,55.28
23,51.68
24,57.58
25,49.78
26,52.88
27,60.980000000000004
28,48.68000000000001
29,43.18000000000001
30,39.43000000000001
31,42.43000000000001
32,47.03000000000001
33,40.63000000000001
34,34.63000000000001
