Week,Return
0,5.199999999999999
1,-1.5000000000000009
2,-8.881784197001252e-16
3,6.249999999999999
4,6.999999999999999
5,-8.7
6,-9.45
7,-6.699999999999999
8,-8.95
9,-17.549999999999997
10,-12.749999999999996
11,-8.699999999999996
12,-5.499999999999995
13,-13.299999999999994
14,-21.299999999999994
15,-22.999999999999993
16,-30.64999999999999
17,-31.54999999999999
18,-26.54999999999999
19,-19.74999999999999
20,-23.74999999999999
21,-28.849999999999987
22,-35.54999999999999
23,-40.29999999999999
24,-45.99999999999999
25,-34.47
26,-41.22
27,-40.72
28,-46.72
29,-33.92
30,-35.32
31,-38.120000000000005
32,-47.120000000000005
33,-58.120000000000005
34,-57.32000000000001
