Week,Return
0,9.900000000000006
1,32.10000000000002
2,39.20000000000002
3,33.90000000000002
4,61.500000000000014
5,151.39999999999998
6,183.49999999999997
7,166.29999999999995
8,123.19999999999996
9,125.29999999999995
10,93.29999999999995
11,27.19999999999996
12,-5.2000000000000455
13,-29.400000000000034
14,4.699999999999974
15,-53.60000000000002
16,-24.599999999999994
17,-55.599999999999994
18,-55.19999999999999
19,-131.6
20,-116.0
21,-118.89999999999999
22,-129.3
23,-102.70000000000002
24,-90.10000000000002
25,-141.3
26,-118.30000000000001
27,-106.20000000000002
28,-98.10000000000001
29,-139.0
30,-160.7
31,-197.7
32,-139.89999999999998
33,-143.49999999999997
34,-180.2
