Week,Return
0,8.3
1,14.100000000000001
2,8.430000000000001
3,19.409999999999997
4,12.709999999999997
5,6.209999999999997
6,1.1599999999999966
7,4.609999999999996
8,-5.390000000000004
9,-3.140000000000004
10,-13.140000000000004
11,-19.540000000000006
12,-22.690000000000005
13,-21.190000000000005
14,-16.240000000000006
15,-17.040000000000006
16,-18.210000000000008
17,-25.910000000000007
18,-34.11000000000001
19,-44.11000000000001
20,-42.11000000000001
21,-34.06
22,-46.06
23,-48.160000000000004
24,-53.160000000000004
25,-59.86000000000001
26,-60.86000000000001
27,-52.06
28,-41.06
29,-47.730000000000004
30,-49.230000000000004
31,-46.63
32,-43.5
33,-45.65
34,-48.95
35,-38.300000000000004
