Week,Return
0,0.9900000000000002
1,3.210000000000001
2,3.9200000000000017
3,3.3900000000000006
4,6.15
5,15.140000000000002
6,18.35
7,16.630000000000003
8,12.320000000000004
9,12.530000000000005
10,9.330000000000005
11,2.720000000000005
12,-0.5199999999999951
13,-2.939999999999995
14,0.4700000000000051
15,-5.359999999999994
16,-2.4599999999999955
17,-5.559999999999995
18,-5.519999999999994
19,-13.159999999999993
20,-11.599999999999993
21,-11.889999999999992
22,-12.929999999999993
23,-10.269999999999992
24,-9.009999999999991
25,-14.129999999999992
26,-11.829999999999991
27,-10.61999999999999
28,-9.809999999999992
29,-13.899999999999991
30,-16.069999999999993
31,-19.769999999999992
32,-13.989999999999995
33,-14.349999999999994
34,-18.019999999999996
