Week,Return
0,83.0
1,141.0
2,84.3
3,194.10000000000002
4,127.10000000000002
5,62.10000000000002
6,11.600000000000023
7,46.10000000000002
8,-53.89999999999998
9,-31.399999999999977
10,-131.39999999999998
11,-195.39999999999998
12,-226.89999999999998
13,-211.89999999999998
14,-162.39999999999998
15,-170.39999999999998
16,-182.09999999999997
17,-259.09999999999997
18,-341.09999999999997
19,-441.09999999999997
20,-421.09999999999997
21,-340.59999999999997
22,-460.59999999999997
23,-481.59999999999997
24,-531.5999999999999
25,-598.5999999999999
26,-608.5999999999999
27,-520.5999999999999
28,-410.5999999999999
29,-477.2999999999999
30,-492.2999999999999
31,-466.2999999999999
32,-434.9999999999999
33,-456.4999999999999
34,-489.4999999999999
35,-382.9999999999999
