Week,ReturnSP1_2018_1_risky,ReturnSP1_2018_10_risky,ReturnSP1_2018_1,ReturnSP1_2018_10,ReturnI1_2018_1_risky,ReturnI1_2018_10_risky,ReturnI1_2018_1,ReturnI1_2018_10,ReturnF1_2018_1_risky,ReturnF1_2018_10_risky,ReturnF1_2018_1,ReturnF1_2018_10,ReturnD1_2018_1_risky,ReturnD1_2018_10_risky,ReturnD1_2018_1,ReturnD1_2018_10,ReturnE0_2018_1_risky,ReturnE0_2018_10_risky,ReturnE0_2018_1,ReturnE0_2018_10
0,6.300000000000001,63.0,-3.55,-35.5,5.199999999999999,52.0,0.9900000000000002,9.900000000000006,8.3,83.0,0.27999999999999936,2.799999999999997,-9.0,-90.0,-1.3399999999999999,-13.400000000000006,-6.7,-67.0,2.6899999999999995,26.900000000000006
1,6.0,60.0,-6.169999999999999,-61.69999999999999,-1.5000000000000009,-15.0,3.210000000000001,32.10000000000002,14.100000000000001,141.0,1.0799999999999983,10.799999999999997,-1.3000000000000007,-13.0,-7.51,-75.10000000000001,-3.1000000000000005,-31.0,1.8100000000000005,18.10000000000001
2,6.5,65.0,-14.969999999999999,-149.7,-8.881784197001252e-16,0.0,3.9200000000000017,39.20000000000002,8.430000000000001,84.3,0.3299999999999983,3.299999999999997,-3.0500000000000007,-30.5,-7.470000000000001,-74.70000000000002,-6.250000000000001,-62.5,2.030000000000001,20.30000000000001
3,8.1,81.0,-18.31,-183.1,6.249999999999999,62.5,3.3900000000000006,33.90000000000002,19.409999999999997,194.10000000000002,-1.3600000000000012,-13.600000000000009,0.34999999999999964,3.5,-8.63,-86.30000000000001,-4.150000000000001,-41.5,-1.8499999999999979,-18.499999999999986
4,0.6999999999999993,7.0,-17.75,-177.5,6.999999999999999,70.0,6.15,61.500000000000014,12.709999999999997,127.10000000000002,-4.030000000000001,-40.30000000000001,2.4999999999999982,25.0,-3.190000000000003,-31.899999999999977,-9.25,-92.5,4.400000000000002,44.000000000000014
5,14.129999999999999,141.3,-25.61,-256.1,-8.7,-87.0,15.140000000000002,151.39999999999998,6.209999999999997,62.10000000000002,-3.1900000000000013,-31.900000000000006,14.449999999999998,144.5,-2.7600000000000033,-27.599999999999966,-16.75,-167.5,0.5600000000000023,5.6000000000000085
6,24.98,249.8,-27.490000000000002,-274.90000000000003,-9.45,-94.5,18.35,183.49999999999997,1.1599999999999966,11.600000000000023,-7.360000000000001,-73.6,12.699999999999998,127.0,-3.450000000000003,-34.49999999999997,-14.45,-144.5,-0.9099999999999975,-9.099999999999994
7,49.18000000000001,491.8,-30.520000000000003,-305.20000000000005,-6.699999999999999,-67.0,16.630000000000003,166.29999999999995,4.609999999999996,46.10000000000002,-8.05,-80.5,7.1999999999999975,72.0,-7.2600000000000025,-72.59999999999997,-18.25,-182.5,1.5900000000000025,15.900000000000006
8,40.480000000000004,404.8,-29.330000000000005,-293.30000000000007,-8.95,-89.5,12.320000000000004,123.19999999999996,-5.390000000000004,-53.89999999999998,-4.649999999999999,-46.5,-1.8000000000000025,-18.0,-6.8400000000000025,-68.39999999999998,-18.2,-182.0,1.2500000000000027,12.5
9,42.480000000000004,424.8,-33.85000000000001,-338.50000000000006,-17.549999999999997,-175.5,12.530000000000005,125.29999999999995,-3.140000000000004,-31.399999999999977,-4.559999999999999,-45.599999999999994,-3.450000000000003,-34.5,-10.230000000000002,-102.29999999999998,-25.0,-250.0,1.1200000000000037,11.200000000000003
10,51.18000000000001,511.8,-36.31000000000001,-363.1,-12.749999999999996,-127.5,9.330000000000005,93.29999999999995,-13.140000000000004,-131.39999999999998,-3.1999999999999993,-32.0,-1.9000000000000021,-19.0,-13.160000000000002,-131.6,-35.0,-350.0,8.030000000000005,80.3
11,60.63000000000001,606.3,-38.13000000000001,-381.3,-8.699999999999996,-87.0,2.720000000000005,27.19999999999996,-19.540000000000006,-195.39999999999998,-7.159999999999999,-71.60000000000001,-5.8000000000000025,-58.0,-8.780000000000001,-87.8,-42.7,-427.0,6.2900000000000045,62.89999999999999
12,53.93000000000001,539.3,-37.35000000000001,-373.5,-5.499999999999995,-55.0,-0.5199999999999951,-5.2000000000000455,-22.690000000000005,-226.89999999999998,-5.8,-58.000000000000014,-8.200000000000003,-82.0,-8.230000000000002,-82.3,-40.300000000000004,-403.0,6.060000000000004,60.599999999999994
13,58.68000000000001,586.8,-41.66000000000001,-416.6,-13.299999999999994,-133.0,-2.939999999999995,-29.400000000000034,-21.190000000000005,-211.89999999999998,-11.86,-118.60000000000002,-9.950000000000003,-99.5,-8.810000000000002,-88.1,-44.10000000000001,-441.0,7.980000000000004,79.79999999999998
14,51.88000000000001,518.8,-41.91000000000001,-419.1,-21.299999999999994,-213.0,0.4700000000000051,4.699999999999974,-16.240000000000006,-162.39999999999998,-14.34,-143.40000000000003,-9.850000000000001,-98.5,-13.970000000000002,-139.7,-47.10000000000001,-471.0,7.450000000000003,74.49999999999997
15,53.08000000000001,530.8,-45.890000000000015,-458.90000000000003,-22.999999999999993,-230.0,-5.359999999999994,-53.60000000000002,-17.040000000000006,-170.39999999999998,-14.65,-146.50000000000003,-14.850000000000001,-148.5,-13.430000000000003,-134.29999999999998,-54.00000000000001,-540.0,10.630000000000003,106.29999999999995
16,63.88000000000001,638.8,-52.530000000000015,-525.3000000000001,-30.64999999999999,-306.5,-2.4599999999999955,-24.599999999999994,-18.210000000000008,-182.09999999999997,-16.28,-162.8,-17.1,-171.0,-10.420000000000003,-104.19999999999999,-32.00000000000001,-320.0,11.820000000000004,118.19999999999996
17,57.68000000000001,576.8,-53.610000000000014,-536.1,-31.54999999999999,-315.5,-5.559999999999995,-55.599999999999994,-25.910000000000007,-259.09999999999997,-16.720000000000002,-167.20000000000002,-13.600000000000001,-136.0,-15.790000000000003,-157.89999999999998,-21.300000000000008,-213.0,7.080000000000004,70.79999999999995
18,50.980000000000004,509.79999999999995,-49.02000000000002,-490.20000000000005,-26.54999999999999,-265.5,-5.519999999999994,-55.19999999999999,-34.11000000000001,-341.09999999999997,-17.14,-171.4,-9.700000000000001,-97.0,-15.670000000000002,-156.7,-14.97000000000001,-149.7,3.560000000000004,35.599999999999966
19,43.980000000000004,439.79999999999995,-44.40000000000002,-444.00000000000006,-19.74999999999999,-197.5,-13.159999999999993,-131.6,-44.11000000000001,-441.09999999999997,-16.119999999999997,-161.2,-10.600000000000001,-106.0,-16.36,-163.6,-12.39000000000001,-123.89999999999999,1.230000000000004,12.299999999999969
20,48.480000000000004,484.79999999999995,-46.94000000000002,-469.4000000000001,-23.74999999999999,-237.5,-11.599999999999993,-116.0,-42.11000000000001,-421.09999999999997,-14.299999999999999,-143.0,-14.850000000000001,-148.5,-16.759999999999998,-167.6,-23.390000000000008,-233.89999999999998,3.510000000000005,35.09999999999998
21,45.78,457.79999999999995,-50.990000000000016,-509.9000000000001,-28.849999999999987,-288.5,-11.889999999999992,-118.89999999999999,-34.06,-340.59999999999997,-13.5,-135.0,-7.400000000000002,-74.0,-16.309999999999995,-163.1,-7.940000000000005,-79.39999999999998,2.1300000000000026,21.299999999999997
22,55.28,552.8,-51.65000000000002,-516.5000000000001,-35.54999999999999,-355.5,-12.929999999999993,-129.3,-46.06,-460.59999999999997,-6.469999999999999,-64.69999999999999,-15.400000000000002,-154.0,-12.429999999999994,-124.3,-9.740000000000006,-97.39999999999998,2.410000000000002,24.099999999999994
