Week,Return
0,-1.3399999999999999
1,-7.51
2,-7.470000000000001
3,-8.63
4,-3.190000000000003
5,-2.7600000000000033
6,-3.450000000000003
7,-7.2600000000000025
8,-6.8400000000000025
9,-10.230000000000002
10,-13.160000000000002
11,-8.780000000000001
12,-8.230000000000002
13,-8.810000000000002
14,-13.970000000000002
15,-13.430000000000003
16,-10.420000000000003
17,-15.790000000000003
18,-15.670000000000002
19,-16.36
20,-16.759999999999998
21,-16.309999999999995
22,-12.429999999999994
23,-10.149999999999995
24,-8.929999999999994
25,-8.889999999999993
26,-7.489999999999993
27,-3.2199999999999935
28,-10.309999999999993
29,-12.899999999999991
30,-18.749999999999993
31,-15.659999999999991
