Week,Return
0,-35.5
1,-61.69999999999999
2,-149.7
3,-183.1
4,-177.5
5,-256.1
6,-274.90000000000003
7,-305.20000000000005
8,-293.30000000000007
9,-338.50000000000006
10,-363.1
11,-381.3
12,-373.5
13,-416.6
14,-419.1
15,-458.90000000000003
16,-525.3000000000001
17,-536.1
18,-490.20000000000005
19,-444.00000000000006
20,-469.4000000000001
21,-509.9000000000001
22,-516.5000000000001
23,-503.0000000000001
24,-502.8000000000001
25,-469.9000000000001
26,-528.1000000000001
27,-536.1000000000001
28,-513.8000000000002
29,-524.6000000000001
30,-522.7000000000002
31,-545.6000000000001
32,-538.1000000000001
33,-539.3000000000002
34,-536.7000000000002
