Week,Return
0,26.900000000000006
1,18.10000000000001
2,20.30000000000001
3,-18.499999999999986
4,44.000000000000014
5,5.6000000000000085
6,-9.099999999999994
7,15.900000000000006
8,12.5
9,11.200000000000003
10,80.3
11,62.89999999999999
12,60.599999999999994
13,79.79999999999998
14,74.49999999999997
15,106.29999999999995
16,118.19999999999996
17,70.79999999999995
18,35.599999999999966
19,12.299999999999969
20,35.09999999999998
21,21.299999999999997
22,24.099999999999994
23,14.099999999999994
24,11.399999999999991
25,127.2
26,141.60000000000002
27,144.10000000000002
28,143.20000000000002
29,132.8
30,146.9
31,128.4
32,51.7
33,44.2
34,11.0
