Week,Return
0,2.799999999999997
1,10.799999999999997
2,3.299999999999997
3,-13.600000000000009
4,-40.30000000000001
5,-31.900000000000006
6,-73.6
7,-80.5
8,-46.5
9,-45.599999999999994
10,-32.0
11,-71.60000000000001
12,-58.000000000000014
13,-118.60000000000002
14,-143.40000000000003
15,-146.50000000000003
16,-162.8
17,-167.20000000000002
18,-171.4
19,-161.2
20,-143.0
21,-135.0
22,-64.69999999999999
23,-66.69999999999999
24,-65.89999999999999
25,-88.8
26,-95.5
27,-108.5
28,-110.6
29,-116.69999999999999
30,-138.7
31,-151.7
32,-252.7
33,-256.9
34,-262.79999999999995
35,-293.99999999999994
