,country_code,country_name,season,accuracy_percentage
1,Belgium,BEL,2014/2015,51.89873417721519
5,England,GBR ,2014/2015,53.29815303430079
9,France,FRA,2014/2015,55.00000000000001
13,Germany,DEU,2014/2015,50.98039215686274
17,Italy,ITA,2014/2015,47.229551451187334
21,Netherlands,NLD,2014/2015,54.276315789473685
25,Portugal,PRT,2014/2015,53.666666666666664
29,Scotland,SCOT,2014/2015,55.06607929515418
33,Spain,ESP,2014/2015,56.613756613756614
