,country_code,country_name,season,accuracy_percentage
4,England,GBR ,2013/2014,60.0
8,France,FRA,2013/2014,52.89473684210526
12,Germany,DEU,2013/2014,54.90196078431373
16,Italy,ITA,2013/2014,57.25593667546174
20,Netherlands,NLD,2013/2014,48.01324503311258
24,Portugal,PRT,2013/2014,53.58649789029536
28,Scotland,GBBR,2013/2014,54.86725663716814
32,Spain,ESP,2013/2014,53.421052631578945
