,country_code,country_name,season,accuracy_percentage
2,Belgium,BEL,2015/2016,51.66666666666667
6,England,GBR ,2015/2016,47.63157894736842
10,France,FRA,2015/2016,48.68421052631579
14,Germany,DEU,2015/2016,52.614379084967325
18,Italy,ITA,2015/2016,53.68421052631579
22,Netherlands,NLD,2015/2016,55.40983606557377
26,Portugal,PRT,2015/2016,55.40983606557377
30,Scotland,GBBR,2015/2016,47.53363228699551
34,Spain,ESP,2015/2016,54.61741424802111
