,country_name,season,accuracy_percentage
0,Belgium,2012/2013,48.06866952789699
3,England,2012/2013,52.89473684210526
7,France,2012/2013,51.97889182058047
11,Germany,2012/2013,49.50819672131148
15,Italy,2012/2013,55.85106382978723
19,Netherlands,2012/2013,49.82332155477032
23,Portugal,2012/2013,54.310344827586206
27,Scotland,2012/2013,39.63963963963964
31,Spain,2012/2013,54.736842105263165
