team,value
Cagliari,9
Sassuolo,8
Chievo,7
Genoa,7
Bologna,6
Napoli,5
Fiorentina,5
Milan,5
Lazio,4
Torino,4
Juventus,4
Udinese,4
Empoli,3
Parma,3
Atalanta,3
Inter,3
Spal,3
Sampdoria,3
Frosinone,2
Roma,2
