team,value
Marseille,214
Monaco,212
St Etienne,207
Caen,196
Nice,193
Toulouse,193
Lorient,191
Bordeaux,190
Reims,180
Montpellier,174
Lyon,173
Paris SG,171
Nantes,169
Lille,165
Lens,156
Metz,154
Evian Thonon Gaillard,152
Guingamp,149
Rennes,148
Bastia,132
